Data,Atraso(ms),Hop_count,Bottleneck,Vazao_BBR,is_imputed
2024-01-15 18:00:00,18.58,10.0,10.0,920530560.0,0
2024-01-16 00:00:00,18.58,10.0,10.0,923468255.0,1
2024-01-16 06:00:00,18.58,10.0,10.0,923468255.0,1
2024-01-16 12:00:00,26.38,10.0,10.0,923468255.0,0
2024-01-16 18:00:00,24.68,9.0,10.0,902652508.0,0
2024-01-17 00:00:00,27.34,9.0,10.0,906707112.0,0
2024-01-17 06:00:00,27.87,9.0,10.0,922191839.0,0
2024-01-17 12:00:00,22.06,9.0,10.0,820457388.0,0
2024-01-17 18:00:00,18.58,10.0,10.0,908853838.0,1
2024-01-18 00:00:00,18.58,10.0,10.0,908853838.0,1
2024-01-18 06:00:00,31.19,9.0,10.0,908853838.0,0
2024-01-18 12:00:00,24.99,9.0,10.0,909447247.0,0
2024-01-18 18:00:00,18.58,10.0,10.0,921744750.0,1
2024-01-19 00:00:00,18.58,10.0,10.0,921744750.0,1
2024-01-19 06:00:00,18.58,10.0,10.0,921744750.0,1
2024-01-19 12:00:00,18.58,10.0,10.0,921744750.0,1
2024-01-19 18:00:00,21.11,10.0,10.0,921744750.0,0
2024-01-20 00:00:00,18.58,10.0,10.0,908688919.0,1
2024-01-20 06:00:00,21.37,9.0,10.0,908688919.0,0
2024-01-20 12:00:00,18.58,10.0,10.0,913748100.0,1
2024-01-20 18:00:00,18.98,9.0,10.0,913748100.0,0
2024-01-21 00:00:00,18.58,10.0,10.0,898778529.0,1
2024-01-21 06:00:00,19.8,9.0,10.0,898778529.0,0
2024-01-21 12:00:00,18.69,9.0,10.0,897528537.0,0
2024-01-21 18:00:00,27.36,11.0,20.0,910220174.0,0
2024-01-22 00:00:00,18.58,10.0,10.0,833618878.0,1
2024-01-22 06:00:00,18.58,10.0,10.0,833618878.0,1
2024-01-22 12:00:00,18.81,9.0,10.0,833618878.0,0
2024-01-22 18:00:00,17.95,9.0,10.0,864959048.0,0
2024-01-23 00:00:00,18.58,10.0,10.0,860671395.0,1
2024-01-23 06:00:00,18.58,10.0,10.0,860671395.0,1
