Data,Atraso(ms),Hop_count,Bottleneck,Vazao_BBR,is_imputed
2024-01-15 12:00:00,23.97,11.0,6.0,912399953.0,0
2024-01-15 18:00:00,30.23,11.0,6.0,887012721.0,0
2024-01-16 00:00:00,23.97,11.0,6.0,791344158.9530267,1
2024-01-16 06:00:00,23.97,11.0,6.0,791344158.9530267,1
2024-01-16 12:00:00,23.97,11.0,6.0,791344158.9530267,1
2024-01-16 18:00:00,23.97,11.0,6.0,791344158.9530267,1
2024-01-17 00:00:00,23.97,11.0,6.0,791344158.9530267,1
2024-01-17 06:00:00,23.97,11.0,6.0,791344158.9530267,1
2024-01-17 12:00:00,23.97,11.0,6.0,791344158.9530267,1
2024-01-17 18:00:00,4.0,8.0,6.0,909431374.0,0
2024-01-18 00:00:00,23.97,11.0,6.0,791344158.9530267,1
2024-01-18 06:00:00,23.97,11.0,6.0,791344158.9530267,1
2024-01-18 12:00:00,26.69,11.0,6.0,918812790.0,0
2024-01-18 18:00:00,32.52,8.0,6.0,928781811.0,0
2024-01-19 00:00:00,37.05,8.0,6.0,931323456.0,0
2024-01-19 06:00:00,38.59,8.0,6.0,912263960.0,0
2024-01-19 12:00:00,23.97,11.0,6.0,791344158.9530267,1
2024-01-19 18:00:00,36.89,8.0,6.0,921484764.0,0
2024-01-20 00:00:00,23.97,11.0,6.0,791344158.9530267,1
2024-01-20 06:00:00,23.97,11.0,6.0,791344158.9530267,1
2024-01-20 12:00:00,39.1,8.0,6.0,920232920.0,0
2024-01-20 18:00:00,22.87,8.0,6.0,921123153.0,0
2024-01-21 00:00:00,23.97,11.0,6.0,791344158.9530267,1
2024-01-21 06:00:00,27.52,8.0,6.0,918573751.0,0
2024-01-21 12:00:00,27.29,8.0,6.0,922124097.0,0
2024-01-21 18:00:00,35.76,8.0,6.0,861968777.0,0
2024-01-22 00:00:00,23.97,11.0,6.0,791344158.9530267,1
2024-01-22 06:00:00,35.03,8.0,6.0,921888244.0,0
2024-01-22 12:00:00,22.62,8.0,6.0,909592344.0,0
2024-01-22 18:00:00,24.68,8.0,6.0,839174743.0,0
2024-01-23 00:00:00,20.01,8.0,6.0,916720730.0,0
2024-01-23 06:00:00,23.79,10.0,6.0,898633630.0,0
2024-01-23 12:00:00,23.97,11.0,6.0,791344158.9530267,1
2024-01-23 18:00:00,37.11,10.0,6.0,874914907.0,0
2024-01-24 00:00:00,23.97,11.0,6.0,791344158.9530267,1
2024-01-24 06:00:00,29.0,8.0,6.0,873521346.0,0
2024-01-24 12:00:00,31.49,8.0,6.0,883308493.0,0
2024-01-24 18:00:00,23.97,11.0,6.0,791344158.9530267,1
2024-01-25 00:00:00,23.97,11.0,6.0,791344158.9530267,1
2024-01-25 06:00:00,27.76,8.0,6.0,912995260.0,0
2024-01-25 12:00:00,27.55,8.0,6.0,876195757.0,0
2024-01-25 18:00:00,31.27,8.0,6.0,875695146.5,0
2024-01-26 00:00:00,23.97,11.0,6.0,791344158.9530267,1
2024-01-26 06:00:00,23.97,11.0,6.0,883268081.0,0
2024-01-26 12:00:00,23.97,11.0,6.0,791344158.9530267,1
2024-01-26 18:00:00,27.31,8.0,6.0,850813657.0,0
2024-01-27 00:00:00,27.3,8.0,6.0,912420231.0,0
2024-01-27 06:00:00,27.78,8.0,6.0,771544149.0,0
2024-01-27 12:00:00,27.67,8.0,6.0,855308000.0,0
2024-01-27 18:00:00,33.5,8.0,6.0,862977939.0,0
2024-01-28 00:00:00,23.97,11.0,6.0,791344158.9530267,1
2024-01-28 06:00:00,80.4,11.0,10.0,909113164.0,0
2024-01-28 12:00:00,26.73,8.0,6.0,848880176.0,0
2024-01-28 18:00:00,25.76,8.0,6.0,878604173.0,0
2024-01-29 00:00:00,23.97,11.0,6.0,791344158.9530267,1
2024-01-29 06:00:00,27.1,8.0,6.0,847404914.0,0
2024-01-29 12:00:00,34.23,8.0,6.0,863252148.0,0
2024-01-29 18:00:00,25.57,8.0,6.0,854749162.0,0
2024-01-30 00:00:00,26.15,8.0,6.0,901883329.0,0
2024-01-30 06:00:00,27.22,8.0,6.0,875582981.5,0
2024-01-30 12:00:00,26.33,8.0,6.0,862140868.0,0
2024-01-30 18:00:00,23.97,11.0,6.0,791344158.9530267,1
2024-01-31 00:00:00,36.84,8.0,6.0,906441749.0,0
2024-01-31 06:00:00,27.87,8.0,6.0,918033796.0,0
2024-01-31 12:00:00,27.72,8.0,6.0,920204094.0,0
2024-01-31 18:00:00,27.35,8.0,6.0,859096598.0,0
2024-02-01 00:00:00,26.12,8.0,6.0,921648962.0,0
2024-02-01 06:00:00,26.49,8.0,6.0,906499934.0,0
2024-02-01 12:00:00,28.02,11.0,6.0,916513855.0,0
2024-02-01 18:00:00,23.97,11.0,6.0,791344158.9530267,1
2024-02-02 00:00:00,24.77,8.0,6.0,877399565.0,0
2024-02-02 06:00:00,23.97,11.0,6.0,791344158.9530267,1
2024-02-02 12:00:00,25.49,8.0,6.0,920861377.0,0
2024-02-02 18:00:00,23.97,11.0,6.0,791344158.9530267,1
2024-02-03 00:00:00,23.97,11.0,6.0,791344158.9530267,1
2024-02-03 06:00:00,23.97,11.0,6.0,791344158.9530267,1
2024-02-03 12:00:00,22.79,8.0,6.0,783208360.0,0
2024-02-03 18:00:00,22.05,8.0,6.0,920352503.0,0
