Data,Atraso(ms),Hop_count,Bottleneck,Vazao_BBR,is_imputed
2024-04-22 18:00:00,28.18,7.0,100.0,911150618.5,0
2024-04-23 00:00:00,39.405,8.0,10.0,815604692.6210153,1
2024-04-23 06:00:00,39.405,8.0,10.0,913362257.5731511,1
2024-04-23 12:00:00,88.38,11.0,10.0,883218434.0,0
2024-04-23 18:00:00,39.405,8.0,10.0,919148459.830623,1
2024-04-24 00:00:00,39.405,8.0,10.0,924480906.6234995,1
2024-04-24 06:00:00,39.405,8.0,10.0,923187895.8106954,1
2024-04-24 12:00:00,69.48,8.0,100.0,792515642.0,0
2024-04-24 18:00:00,39.405,12.0,10.0,828763367.0,0
2024-04-25 00:00:00,39.405,8.0,10.0,933585938.6450803,1
2024-04-25 06:00:00,39.405,8.0,10.0,929004042.543964,1
2024-04-25 12:00:00,26.05,8.0,3.0,903823839.0,0
2024-04-25 18:00:00,25.28,8.0,3.0,901409800.0,0
2024-04-26 00:00:00,39.405,8.0,10.0,925604336.7308443,1
2024-04-26 06:00:00,24.84,8.0,3.0,936436040.0,0
2024-04-26 12:00:00,39.405,8.0,10.0,922918526.6936846,1
2024-04-26 18:00:00,27.56,7.0,100.0,948608478.0,0
2024-04-27 00:00:00,39.405,8.0,10.0,923248769.0250747,1
2024-04-27 06:00:00,39.405,8.0,10.0,922048540.537002,1
2024-04-27 12:00:00,39.405,8.0,10.0,927130963.0769229,1
2024-04-27 18:00:00,39.405,8.0,10.0,927175344.2634178,1
2024-04-28 00:00:00,39.405,8.0,10.0,926570904.9166815,1
2024-04-28 06:00:00,39.405,8.0,10.0,925544137.1151571,1
2024-04-28 12:00:00,39.405,8.0,10.0,926582205.4415033,1
2024-04-28 18:00:00,39.405,8.0,10.0,926138022.1102029,1
2024-04-29 00:00:00,39.405,8.0,10.0,925912009.1040545,1
2024-04-29 06:00:00,39.405,8.0,10.0,925545199.8529972,1
2024-04-29 12:00:00,39.405,8.0,10.0,927689615.824269,1
2024-04-29 18:00:00,46.81,8.0,3.0,855380053.0,0
2024-04-30 00:00:00,39.405,8.0,10.0,927243049.8385582,1
2024-04-30 06:00:00,31.45,8.0,3.0,756704529.0,0
2024-04-30 12:00:00,36.57,8.0,3.0,930933173.0,0
2024-04-30 18:00:00,34.78,7.0,100.0,936747149.5,0
2024-05-01 00:00:00,39.405,8.0,10.0,929683471.0999057,1
2024-05-01 06:00:00,36.76,7.0,100.0,933969491.0,0
2024-05-01 12:00:00,24.51,7.0,100.0,934450591.0,0
2024-05-01 18:00:00,31.43,7.0,100.0,928766068.0,0
2024-05-02 00:00:00,39.405,8.0,10.0,927880874.5450418,1
2024-05-02 06:00:00,35.11,7.0,100.0,936013378.0,0
2024-05-02 12:00:00,33.59,7.0,100.0,901883827.0,0
2024-05-02 18:00:00,52.21,11.0,10.0,901200234.5,0
2024-05-03 00:00:00,39.405,8.0,10.0,929187017.497212,1
2024-05-03 06:00:00,39.405,8.0,10.0,927746327.0677433,1
2024-05-03 12:00:00,59.17,13.0,10.0,756495949.0,0
2024-05-03 18:00:00,70.55,10.5,10.0,932503672.0,0
2024-05-04 00:00:00,39.405,8.0,10.0,927201025.5500429,1
2024-05-04 06:00:00,39.405,8.0,10.0,929720960.6965374,1
2024-05-04 12:00:00,39.405,8.0,10.0,928618074.0128767,1
2024-05-04 18:00:00,37.47,7.0,100.0,937164914.5,0
2024-05-05 00:00:00,39.405,8.0,10.0,928839016.8660489,1
2024-05-05 06:00:00,39.405,8.0,10.0,927340321.4282973,1
2024-05-05 12:00:00,37.13,7.0,100.0,927108807.0,0
2024-05-05 18:00:00,34.04,7.0,100.0,935699413.0,0
2024-05-06 00:00:00,39.405,8.0,10.0,928169265.2883333,1
2024-05-06 06:00:00,51.53,9.0,6.0,743597447.0,0
2024-05-06 12:00:00,33.8,7.0,100.0,797373497.5,0
2024-05-06 18:00:00,34.56,7.0,100.0,935104663.0,0
2024-05-07 00:00:00,39.405,8.0,10.0,931146385.8384831,1
2024-05-07 06:00:00,35.28,7.0,100.0,923849654.5,0
2024-05-07 12:00:00,34.36,7.0,100.0,890626387.0,0
2024-05-07 18:00:00,36.6,7.0,100.0,930299697.0,0
2024-05-08 00:00:00,39.405,8.0,10.0,929768897.8203052,1
2024-05-08 06:00:00,39.405,8.0,10.0,928704495.2046484,1
2024-05-08 12:00:00,37.81,12.0,10.0,798567028.0,0
2024-05-08 18:00:00,82.97,20.5,10.0,696303272.0,0
2024-05-09 00:00:00,39.405,8.0,10.0,929724703.9023205,1
2024-05-09 06:00:00,39.405,12.0,10.0,873717607.0,0
2024-05-09 12:00:00,39.405,8.0,10.0,932305444.5074687,1
2024-05-09 18:00:00,84.81,13.0,10.0,872990857.0,0
2024-05-10 00:00:00,39.405,8.0,10.0,929188117.0625873,1
2024-05-10 06:00:00,36.45,13.0,10.0,837709460.0,0
2024-05-10 12:00:00,39.405,8.0,10.0,931582882.4575024,1
2024-05-10 18:00:00,35.0,7.0,100.0,927728961.0,0
2024-05-11 00:00:00,39.405,8.0,10.0,931375438.3817708,1
2024-05-11 06:00:00,39.405,8.0,10.0,930100448.2497727,1
2024-05-11 12:00:00,85.17,9.5,10.0,929537462.0,0
