Data,Atraso(ms),Hop_count,Bottleneck,Vazao_BBR,is_imputed
2024-04-23 06:00:00,14.17,5.0,10.0,922524064.0,0
2024-04-23 12:00:00,14.27,5.0,100.0,908285453.0,0
2024-04-23 18:00:00,14.84,5.0,100.0,920917489.0,0
2024-04-24 00:00:00,14.66,5.0,10.0,898682058.3311259,1
2024-04-24 06:00:00,14.66,5.0,10.0,898682058.3311259,1
2024-04-24 12:00:00,1.82,5.0,100.0,923247403.33,0
2024-04-24 18:00:00,15.03,5.0,100.0,909328971.0,0
2024-04-25 00:00:00,14.66,5.0,10.0,898682058.3311259,1
2024-04-25 06:00:00,14.66,5.0,10.0,898682058.3311259,1
2024-04-25 12:00:00,14.66,5.0,10.0,898682058.3311259,1
2024-04-25 18:00:00,0.96,5.0,100.0,926729429.0,0
2024-04-26 00:00:00,14.66,5.0,10.0,898682058.3311259,1
2024-04-26 06:00:00,0.81,5.0,100.0,920783011.0,0
2024-04-26 12:00:00,0.51,5.0,100.0,920689598.0,0
2024-04-26 18:00:00,0.47,5.0,100.0,911058719.0,0
2024-04-27 00:00:00,1.1,5.0,100.0,924303152.0,0
2024-04-27 06:00:00,1.13,5.0,100.0,632070700.0,0
2024-04-27 12:00:00,1.1,5.0,100.0,922853257.0,0
2024-04-27 18:00:00,0.83,5.0,100.0,904647158.5,0
2024-04-28 00:00:00,14.66,5.0,10.0,898682058.3311259,1
2024-04-28 06:00:00,1.44,5.0,100.0,925161148.0,0
2024-04-28 12:00:00,8.52,5.0,100.0,907754058.0,0
2024-04-28 18:00:00,8.57,5.0,100.0,919289015.0,0
2024-04-29 00:00:00,14.66,5.0,10.0,898682058.3311259,1
2024-04-29 06:00:00,14.66,5.0,10.0,898682058.3311259,1
2024-04-29 12:00:00,14.66,5.0,10.0,898682058.3311259,1
2024-04-29 18:00:00,13.04,5.0,100.0,910322119.0,0
2024-04-30 00:00:00,14.66,5.0,10.0,898682058.3311259,1
2024-04-30 06:00:00,14.66,5.0,10.0,898682058.3311259,1
2024-04-30 12:00:00,12.41,5.0,100.0,925211172.0,0
2024-04-30 18:00:00,14.66,5.0,10.0,898682058.3311259,1
2024-05-01 00:00:00,14.66,5.0,10.0,898682058.3311259,1
2024-05-01 06:00:00,14.66,5.0,10.0,898682058.3311259,1
2024-05-01 12:00:00,0.68,5.0,100.0,919937305.0,0
2024-05-01 18:00:00,12.63,5.0,100.0,918953930.5,0
2024-05-02 00:00:00,14.66,5.0,10.0,898682058.3311259,1
2024-05-02 06:00:00,14.66,5.0,10.0,898682058.3311259,1
2024-05-02 12:00:00,14.66,5.0,10.0,898682058.3311259,1
2024-05-02 18:00:00,14.66,5.0,10.0,898682058.3311259,1
2024-05-03 00:00:00,14.66,5.0,10.0,898682058.3311259,1
2024-05-03 06:00:00,14.66,5.0,10.0,898682058.3311259,1
2024-05-03 12:00:00,14.66,5.0,10.0,898682058.3311259,1
2024-05-03 18:00:00,14.66,5.0,10.0,898682058.3311259,1
2024-05-04 00:00:00,14.66,5.0,10.0,898682058.3311259,1
2024-05-04 06:00:00,14.66,5.0,10.0,898682058.3311259,1
2024-05-04 12:00:00,14.66,5.0,10.0,898682058.3311259,1
2024-05-04 18:00:00,13.46,5.0,100.0,925268921.0,0
2024-05-05 00:00:00,14.66,5.0,10.0,898682058.3311259,1
