Data,Atraso(ms),Hop_count,Bottleneck,Vazao_BBR,is_imputed
2024-01-15 12:00:00,6.475,7.0,20.0,945825625.0,0
2024-01-15 18:00:00,6.475,7.0,20.0,976490794.0,0
2024-01-16 00:00:00,13.65,7.0,20.0,968622564.0,0
2024-01-16 06:00:00,6.475,7.0,20.0,971745094.7820594,1
2024-01-16 12:00:00,6.475,7.0,20.0,972792494.0710452,1
2024-01-16 18:00:00,12.5,8.0,20.0,978169501.0,0
2024-01-17 00:00:00,-1.67,8.0,20.0,976856429.0,0
2024-01-17 06:00:00,6.475,7.0,20.0,970352770.8396144,1
2024-01-17 12:00:00,6.475,7.0,20.0,969709108.4548686,1
2024-01-17 18:00:00,-7.42,8.0,20.0,965743083.0,0
2024-01-18 00:00:00,6.475,7.0,20.0,969747527.7997255,1
2024-01-18 06:00:00,6.475,7.0,20.0,969089797.2038932,1
2024-01-18 12:00:00,7.22,8.0,20.0,976591990.0,0
2024-01-18 18:00:00,14.08,8.0,20.0,960700527.0,0
2024-01-19 00:00:00,6.475,7.0,20.0,968138896.6299154,1
2024-01-19 06:00:00,6.475,7.0,20.0,968270870.3874037,1
2024-01-19 12:00:00,6.475,7.0,20.0,968591760.4025271,1
2024-01-19 18:00:00,23.51,8.0,20.0,937503155.0,0
2024-01-20 00:00:00,6.475,7.0,20.0,968201812.9564288,1
2024-01-20 06:00:00,6.475,7.0,20.0,968885755.805234,1
2024-01-20 12:00:00,6.475,7.0,20.0,968497820.3565936,1
2024-01-20 18:00:00,6.18,8.0,20.0,932769721.0,0
2024-01-21 00:00:00,6.475,7.0,20.0,967882668.6835401,1
2024-01-21 06:00:00,8.32,8.0,20.0,966577936.0,0
2024-01-21 12:00:00,6.475,7.0,20.0,968691054.0693792,1
2024-01-21 18:00:00,13.89,8.0,20.0,966551067.0,0
2024-01-22 00:00:00,6.475,7.0,20.0,968637710.8674331,1
2024-01-22 06:00:00,15.38,8.0,20.0,963407823.0,0
2024-01-22 12:00:00,2.53,8.0,20.0,961325973.5,0
2024-01-22 18:00:00,17.63,8.0,20.0,978379755.0,0
2024-01-23 00:00:00,6.475,7.0,20.0,967899982.1556933,1
2024-01-23 06:00:00,19.52,8.0,20.0,947964943.0,0
2024-01-23 12:00:00,6.475,7.0,20.0,967389362.4402162,1
2024-01-23 18:00:00,6.475,7.0,20.0,968471440.5511341,1
2024-01-24 00:00:00,6.475,7.0,20.0,968506955.5807847,1
2024-01-24 06:00:00,6.475,7.0,20.0,968504589.5940005,1
2024-01-24 12:00:00,6.475,7.0,20.0,968444206.7740873,1
2024-01-24 18:00:00,8.56,8.0,20.0,953260155.0,0
2024-01-25 00:00:00,6.475,7.0,20.0,968707451.5932637,1
2024-01-25 06:00:00,6.09,8.0,20.0,951850003.0,0
2024-01-25 12:00:00,6.475,7.0,20.0,969250777.2697456,1
2024-01-25 18:00:00,10.47,8.0,20.0,949755357.0,0
2024-01-26 00:00:00,9.93,8.0,20.0,962388009.0,0
2024-01-26 06:00:00,7.05,8.0,20.0,947807230.0,0
2024-01-26 12:00:00,6.475,7.0,20.0,970250063.506512,1
2024-01-26 18:00:00,12.51,8.0,20.0,953889682.0,0
2024-01-27 00:00:00,6.475,7.0,20.0,969128359.6842039,1
2024-01-27 06:00:00,12.61,8.0,20.0,954481674.0,0
2024-01-27 12:00:00,17.38,8.0,20.0,951843103.0,0
2024-01-27 18:00:00,11.34,8.0,20.0,938536136.0,0
2024-01-28 00:00:00,6.475,7.0,20.0,970546401.2235601,1
2024-01-28 06:00:00,57.05,10.0,3.0,957300139.0,0
2024-01-28 12:00:00,6.52,8.0,20.0,922103329.0,0
2024-01-28 18:00:00,11.3,8.0,20.0,958292452.0,0
2024-01-29 00:00:00,6.475,7.0,20.0,970491087.5177385,1
2024-01-29 06:00:00,6.475,7.0,20.0,969909690.5239083,1
2024-01-29 12:00:00,18.95,8.0,20.0,951953101.0,0
2024-01-29 18:00:00,6.475,7.0,20.0,968376501.3918839,1
2024-01-30 00:00:00,6.475,7.0,20.0,969488159.0428299,1
2024-01-30 06:00:00,11.15,8.0,20.0,948592713.0,0
2024-01-30 12:00:00,6.475,7.0,20.0,968697519.1908191,1
2024-01-30 18:00:00,5.96,8.0,20.0,975282195.0,0
2024-01-31 00:00:00,6.475,7.0,20.0,969044311.3187852,1
2024-01-31 06:00:00,6.475,7.0,20.0,968430939.7905899,1
2024-01-31 12:00:00,6.475,7.0,20.0,968273620.243572,1
2024-01-31 18:00:00,13.75,8.0,20.0,966483372.0,0
2024-02-01 00:00:00,6.475,7.0,20.0,969879272.4747716,1
2024-02-01 06:00:00,1.7,8.0,20.0,961260579.0,0
2024-02-01 12:00:00,6.475,7.0,20.0,969819756.2580295,1
2024-02-01 18:00:00,6.475,7.0,20.0,969570504.7607634,1
2024-02-02 00:00:00,6.475,7.0,20.0,969604964.2351949,1
2024-02-02 06:00:00,6.475,7.0,20.0,969343233.3990371,1
2024-02-02 12:00:00,6.475,7.0,20.0,969393012.8889319,1
2024-02-02 18:00:00,4.96,8.0,20.0,962965547.0,0
2024-02-03 00:00:00,4.32,8.0,20.0,966744068.0,0
2024-02-03 06:00:00,6.475,7.0,20.0,969760890.8889142,1
2024-02-03 12:00:00,7.74,8.0,20.0,966736044.0,0
2024-02-03 18:00:00,8.5,8.0,20.0,976121204.0,0
2024-02-04 00:00:00,7.44,8.0,20.0,965865182.0,0
2024-02-04 06:00:00,6.475,7.0,20.0,968919055.2371789,1
2024-02-04 12:00:00,5.64,8.0,20.0,977042899.5,0
2024-02-04 18:00:00,11.37,8.0,20.0,976488645.0,0
2024-02-05 00:00:00,6.475,7.0,20.0,968221402.6852069,1
2024-02-05 06:00:00,6.475,7.0,20.0,967705151.5035795,1
2024-02-05 12:00:00,6.475,7.0,20.0,968608673.102675,1
2024-02-05 18:00:00,13.56,8.0,20.0,966319657.0,0
2024-02-06 00:00:00,4.49,8.0,20.0,962157155.0,0
2024-02-06 06:00:00,6.92,8.0,20.0,966266600.0,0
2024-02-06 12:00:00,13.38,8.0,20.0,979112634.0,0
2024-02-06 18:00:00,14.65,8.0,20.0,963706364.5,0
2024-02-07 00:00:00,6.475,7.0,20.0,967971755.3094085,1
2024-02-07 06:00:00,10.21,8.0,20.0,973763997.0,0
2024-02-07 12:00:00,12.51,8.0,20.0,966265296.0,0
2024-02-07 18:00:00,13.82,8.0,20.0,967706853.0,0
2024-02-08 00:00:00,9.19,8.0,20.0,977848570.0,0
2024-02-08 06:00:00,12.23,8.0,20.0,966051861.0,0
2024-02-08 12:00:00,8.96,8.0,20.0,968463486.0,0
2024-02-08 18:00:00,35.6,10.0,10.0,973215918.0,0
2024-02-09 00:00:00,6.475,7.0,20.0,968740182.512117,1
2024-02-09 06:00:00,14.12,8.0,20.0,959813557.5,0
2024-02-09 12:00:00,6.475,7.0,20.0,968224075.7619041,1
2024-02-09 18:00:00,6.475,7.0,20.0,969187085.0311178,1
2024-02-10 00:00:00,6.475,7.0,20.0,969206883.1882963,1
2024-02-10 06:00:00,6.475,7.0,20.0,968789629.8985393,1
2024-02-10 12:00:00,6.475,7.0,20.0,968648702.4712838,1
2024-02-10 18:00:00,6.475,7.0,20.0,969017639.6368771,1
2024-02-11 00:00:00,6.475,7.0,20.0,969263623.4586352,1
2024-02-11 06:00:00,6.475,7.0,20.0,969000965.8318542,1
2024-02-11 12:00:00,6.475,7.0,20.0,968812019.6303072,1
2024-02-11 18:00:00,0.92,8.0,20.0,965950336.0,0
2024-02-12 00:00:00,6.475,7.0,20.0,969011637.2086092,1
2024-02-12 06:00:00,6.475,7.0,20.0,969042719.0598179,1
2024-02-12 12:00:00,2.22,8.0,20.0,977799222.0,0
2024-02-12 18:00:00,1.67,8.0,20.0,977590679.0,0
2024-02-13 00:00:00,6.475,7.0,20.0,967368833.2793655,1
2024-02-13 06:00:00,6.475,7.0,20.0,967132482.0696461,1
2024-02-13 12:00:00,0.43,8.0,20.0,973866566.0,0
2024-02-13 18:00:00,11.23,8.0,20.0,972345566.0,0
2024-02-14 00:00:00,6.475,7.0,20.0,967974274.8880113,1
2024-02-14 06:00:00,2.01,8.0,20.0,976382079.0,0
2024-02-14 12:00:00,1.84,8.0,20.0,977641300.0,0
2024-02-14 18:00:00,12.47,8.0,20.0,966544059.0,0
2024-02-15 00:00:00,11.03,8.0,20.0,965267360.0,0
2024-02-15 06:00:00,21.39,8.0,20.0,969148500.0,0
2024-02-15 12:00:00,12.04,8.0,20.0,967110397.0,0
2024-02-15 18:00:00,9.59,8.0,20.0,977170466.0,0
2024-02-16 00:00:00,6.475,8.0,20.0,969881971.0,0
2024-02-16 06:00:00,6.475,8.0,20.0,977616802.0,0
2024-02-16 12:00:00,6.475,7.0,20.0,967224630.542696,1
2024-02-16 18:00:00,6.475,7.0,20.0,967347236.1454759,1
2024-02-17 00:00:00,6.475,7.0,20.0,967880480.5228819,1
2024-02-17 06:00:00,6.475,7.0,20.0,968665285.1072276,1
2024-02-17 12:00:00,6.475,7.0,20.0,968417984.9666649,1
2024-02-17 18:00:00,6.475,7.0,20.0,968426014.6759294,1
2024-02-18 00:00:00,6.475,7.0,20.0,968805753.4741055,1
2024-02-18 06:00:00,6.475,7.0,20.0,968707266.2901546,1
2024-02-18 12:00:00,6.475,7.0,20.0,968651855.5036553,1
2024-02-18 18:00:00,9.92,8.0,20.0,965264899.0,0
2024-02-19 00:00:00,9.46,8.0,20.0,949902746.0,0
2024-02-19 06:00:00,6.475,7.0,20.0,968697547.2245412,1
2024-02-19 12:00:00,10.38,8.0,20.0,976909493.0,0
2024-02-19 18:00:00,15.11,8.0,20.0,967163261.0,0
2024-02-20 00:00:00,6.475,7.0,20.0,967402569.1900158,1
2024-02-20 06:00:00,6.475,7.0,20.0,967723968.1494175,1
2024-02-20 12:00:00,6.475,7.0,20.0,968588383.1376158,1
2024-02-20 18:00:00,13.33,8.0,20.0,977597962.0,0
2024-02-21 00:00:00,10.8,8.0,20.0,966076699.0,0
2024-02-21 06:00:00,10.71,8.0,20.0,972244090.0,0
2024-02-21 12:00:00,6.69,8.0,20.0,975963234.0,0
2024-02-21 18:00:00,3.85,8.0,20.0,967105126.0,0
2024-02-22 00:00:00,6.475,7.0,20.0,967669354.8783804,1
2024-02-22 06:00:00,6.475,7.0,20.0,967709303.7405847,1
2024-02-22 12:00:00,6.475,7.0,20.0,968550944.9097544,1
2024-02-22 18:00:00,6.475,7.0,20.0,968191606.7130355,1
2024-02-23 00:00:00,6.475,7.0,20.0,977430900.0,0
2024-02-23 06:00:00,6.475,7.0,20.0,967670084.8681326,1
2024-02-23 12:00:00,7.03,8.0,20.0,968152253.0,0
2024-02-23 18:00:00,6.475,7.0,20.0,967376704.6506608,1
2024-02-24 00:00:00,13.94,8.0,20.0,966595577.0,0
2024-02-24 06:00:00,6.92,8.0,20.0,966420650.0,0
2024-02-24 12:00:00,7.46,8.0,20.0,964009839.0,0
2024-02-24 18:00:00,6.475,7.0,20.0,968574218.4131926,1
2024-02-25 00:00:00,6.475,7.0,20.0,968724477.8924462,1
2024-02-25 06:00:00,9.74,8.0,20.0,973290871.0,0
2024-02-25 12:00:00,3.88,8.0,20.0,960551118.0,0
2024-02-25 18:00:00,6.475,7.0,20.0,967579900.5545583,1
2024-02-26 00:00:00,6.475,7.0,20.0,967913581.50389,1
2024-02-26 06:00:00,0.84,8.0,20.0,960919562.0,0
2024-02-26 12:00:00,6.475,7.0,20.0,968413700.5000186,1
2024-02-26 18:00:00,6.475,7.0,20.0,968054079.8351761,1
2024-02-27 00:00:00,6.475,7.0,20.0,968413172.0135684,1
2024-02-27 06:00:00,6.475,7.0,20.0,968228189.3954389,1
2024-02-27 12:00:00,6.475,7.0,20.0,968189391.5032068,1
2024-02-27 18:00:00,6.475,7.0,20.0,968305178.469287,1
2024-02-28 00:00:00,6.475,7.0,20.0,968591698.014676,1
2024-02-28 06:00:00,6.475,7.0,20.0,968342492.5043236,1
2024-02-28 12:00:00,6.475,7.0,20.0,968253337.0834743,1
2024-02-28 18:00:00,6.475,7.0,20.0,968211486.9395915,1
2024-02-29 00:00:00,6.475,7.0,20.0,968481800.3396473,1
2024-02-29 06:00:00,6.475,7.0,20.0,968286344.67942,1
2024-02-29 12:00:00,6.475,7.0,20.0,968295025.4448687,1
2024-02-29 18:00:00,6.475,7.0,20.0,968259842.4176998,1
2024-03-01 00:00:00,6.475,7.0,20.0,968848497.3043668,1
2024-03-01 06:00:00,-0.34,8.0,20.0,976279955.0,0
2024-03-01 12:00:00,3.43,8.0,20.0,978013436.0,0
2024-03-01 18:00:00,6.475,7.0,20.0,967285015.9939277,1
2024-03-02 00:00:00,6.475,7.0,20.0,967040541.4981544,1
2024-03-02 06:00:00,5.12,8.0,20.0,972478343.0,0
2024-03-02 12:00:00,6.475,7.0,20.0,968073476.9274755,1
2024-03-02 18:00:00,-0.02,8.0,20.0,967547307.0,0
2024-03-03 00:00:00,6.22,8.0,20.0,975239616.0,0
2024-03-03 06:00:00,5.13,8.0,20.0,964481458.0,0
2024-03-03 12:00:00,6.475,7.0,20.0,967530430.543968,1
2024-03-03 18:00:00,1.36,8.0,100.0,968361921.0,0
2024-03-04 00:00:00,6.475,7.0,20.0,968503742.113466,1
2024-03-04 06:00:00,1.3,8.0,100.0,965477172.0,0
2024-03-04 12:00:00,6.475,7.0,20.0,968286611.1338317,1
2024-03-04 18:00:00,6.475,7.0,20.0,968510356.0579395,1
2024-03-05 00:00:00,6.58,8.0,20.0,974968207.0,0
2024-03-05 06:00:00,5.74,8.0,20.0,975701431.0,0
2024-03-05 12:00:00,6.475,7.0,20.0,967339006.7651284,1
2024-03-05 18:00:00,6.475,7.0,20.0,967276857.6491592,1
2024-03-06 00:00:00,1.1,7.0,20.0,965580195.0,0
2024-03-06 06:00:00,13.03,7.0,20.0,964997467.0,0
2024-03-06 12:00:00,6.475,7.0,20.0,968497613.629464,1
2024-03-06 18:00:00,10.69,7.0,20.0,967992934.0,0
2024-03-07 00:00:00,6.475,7.0,20.0,968514824.7161915,1
2024-03-07 06:00:00,6.475,7.0,20.0,968378597.2173752,1
2024-03-07 12:00:00,6.475,7.0,20.0,968340257.6299596,1
2024-03-07 18:00:00,6.475,7.0,20.0,968469006.3136935,1
2024-03-08 00:00:00,11.82,7.0,20.0,969652727.0,0
2024-03-08 06:00:00,12.19,7.0,20.0,965475965.0,0
2024-03-08 12:00:00,6.475,7.0,20.0,968046909.7414082,1
2024-03-08 18:00:00,-7.15,7.0,20.0,963619654.0,0
2024-03-09 00:00:00,6.475,7.0,20.0,968501092.4137812,1
2024-03-09 06:00:00,1.58,7.0,20.0,971457363.0,0
2024-03-09 12:00:00,6.475,7.0,20.0,968215640.1357393,1
2024-03-09 18:00:00,6.475,7.0,20.0,967870784.6229477,1
2024-03-10 00:00:00,6.475,7.0,20.0,968424090.411125,1
2024-03-10 06:00:00,-3.79,7.0,20.0,977148636.0,0
2024-03-10 12:00:00,6.475,7.0,20.0,967524653.802738,1
2024-03-10 18:00:00,6.475,7.0,20.0,967096071.4986162,1
2024-03-11 00:00:00,6.475,7.0,20.0,966266504.0,0
2024-03-11 06:00:00,6.475,7.0,20.0,968256196.4614538,1
2024-03-11 12:00:00,6.475,7.0,20.0,968099555.4398961,1
2024-03-11 18:00:00,6.475,7.0,20.0,968035962.3352642,1
2024-03-12 00:00:00,6.475,7.0,20.0,968234490.3386692,1
2024-03-12 06:00:00,6.475,7.0,20.0,968253303.6101109,1
2024-03-12 12:00:00,6.475,7.0,20.0,968284213.6529989,1
2024-03-12 18:00:00,6.475,7.0,20.0,968237942.243918,1
2024-03-13 00:00:00,6.475,7.0,20.0,968375208.4815058,1
2024-03-13 06:00:00,4.03,7.0,20.0,965616020.0,0
2024-03-13 12:00:00,13.37,7.0,20.0,961125674.0,0
2024-03-13 18:00:00,6.475,7.0,20.0,968488107.1938492,1
2024-03-14 00:00:00,6.475,7.0,20.0,968232375.2561991,1
2024-03-14 06:00:00,6.475,7.0,20.0,968269597.3530115,1
2024-03-14 12:00:00,6.475,7.0,20.0,968166343.5097674,1
2024-03-14 18:00:00,6.475,7.0,20.0,968189548.8927007,1
2024-03-15 00:00:00,-3.12,7.0,20.0,977012837.0,0
2024-03-15 06:00:00,9.15,7.0,20.0,967576164.0,0
2024-03-15 12:00:00,6.475,7.0,20.0,966898421.6934059,1
2024-03-15 18:00:00,6.475,7.0,20.0,967218758.2101141,1
2024-03-16 00:00:00,6.475,7.0,20.0,968314723.1579252,1
2024-03-16 06:00:00,6.475,7.0,20.0,968165985.5209844,1
2024-03-16 12:00:00,6.475,7.0,20.0,967986889.8783218,1
2024-03-16 18:00:00,6.475,7.0,20.0,968275517.1902792,1
2024-03-17 00:00:00,6.475,7.0,20.0,968302121.1926671,1
2024-03-17 06:00:00,6.475,7.0,20.0,968330719.6914016,1
2024-03-17 12:00:00,6.475,7.0,20.0,968246713.6717935,1
2024-03-17 18:00:00,0.59,7.0,20.0,968584234.5,0
2024-03-18 00:00:00,6.475,7.0,20.0,968153048.9821838,1
2024-03-18 06:00:00,6.475,7.0,20.0,968256460.7897848,1
2024-03-18 12:00:00,2.69,7.0,20.0,965268181.0,0
2024-03-18 18:00:00,-0.52,7.0,20.0,962489232.5,0
2024-03-19 00:00:00,6.475,7.0,20.0,968375104.6062589,1
2024-03-19 06:00:00,6.475,7.0,20.0,968242654.079403,1
2024-03-19 12:00:00,6.475,7.0,20.0,968038522.3842866,1
2024-03-19 18:00:00,6.475,7.0,20.0,967977353.302858,1
2024-03-20 00:00:00,6.475,7.0,20.0,968127807.5683738,1
2024-03-20 06:00:00,6.475,7.0,20.0,968128225.3907144,1
2024-03-20 12:00:00,0.89,7.0,20.0,968568682.0,0
2024-03-20 18:00:00,-2.52,7.0,20.0,965216862.0,0
2024-03-21 00:00:00,6.475,7.0,20.0,968213733.0962522,1
2024-03-21 06:00:00,0.11,7.0,20.0,966212674.0,0
2024-03-21 12:00:00,6.475,7.0,20.0,968226680.1983665,1
2024-03-21 18:00:00,12.37,7.0,20.0,965298666.5,0
2024-03-22 00:00:00,6.475,7.0,20.0,968308199.6802588,1
2024-03-22 06:00:00,6.475,7.0,20.0,968169095.3641036,1
2024-03-22 12:00:00,6.475,30.0,20.0,932081025.5,0
2024-03-22 18:00:00,23.46,7.0,20.0,976227087.0,0
2024-03-23 00:00:00,6.475,7.0,20.0,966900446.735849,1
2024-03-23 06:00:00,6.475,7.0,20.0,967000813.9808171,1
2024-03-23 12:00:00,18.25,7.0,20.0,973917468.5,0
2024-03-23 18:00:00,15.63,7.0,20.0,976227770.0,0
2024-03-24 00:00:00,6.475,7.0,20.0,967030361.9057691,1
