Data,Atraso(ms),Hop_count,Bottleneck,Vazao_BBR,is_imputed
2024-01-15 12:00:00,35.06,9.0,20.0,944344854.0,0
2024-01-15 18:00:00,35.06,9.0,20.0,961579793.0,1
2024-01-16 00:00:00,35.06,9.0,20.0,910742779.0,0
2024-01-16 06:00:00,35.56,9.0,20.0,932343261.0,0
2024-01-16 12:00:00,35.06,9.0,20.0,961579793.0,1
2024-01-16 18:00:00,35.06,9.0,20.0,961579793.0,1
2024-01-17 00:00:00,35.61,9.0,100.0,839009468.0,0
2024-01-17 06:00:00,34.59,9.0,100.0,910270600.0,0
2024-01-17 12:00:00,35.2,11.0,100.0,917313454.0,0
2024-01-17 18:00:00,34.32,10.0,100.0,911265838.0,0
2024-01-18 00:00:00,35.06,9.0,20.0,961579793.0,1
2024-01-18 06:00:00,34.65,10.0,100.0,866667632.0,0
2024-01-18 12:00:00,34.56,10.0,100.0,860304050.0,0
2024-01-18 18:00:00,33.99,10.0,100.0,936822731.0,0
2024-01-19 00:00:00,35.06,9.0,20.0,961579793.0,1
2024-01-19 06:00:00,32.22,10.0,100.0,917540709.0,0
2024-01-19 12:00:00,34.89,10.0,100.0,921332744.0,0
2024-01-19 18:00:00,34.91,9.0,100.0,937370454.0,0
2024-01-20 00:00:00,35.06,9.0,20.0,961579793.0,1
2024-01-20 06:00:00,34.53,9.0,100.0,906788756.0,0
2024-01-20 12:00:00,34.19,9.0,100.0,935045545.5,0
2024-01-20 18:00:00,27.5,10.0,100.0,835936385.0,0
2024-01-21 00:00:00,35.06,9.0,20.0,961579793.0,1
2024-01-21 06:00:00,34.27,9.0,100.0,835096433.0,0
2024-01-21 12:00:00,34.93,9.0,100.0,910943944.0,0
2024-01-21 18:00:00,36.62,9.0,20.0,911005470.0,0
2024-01-22 00:00:00,35.06,9.0,20.0,961579793.0,1
2024-01-22 06:00:00,36.25,10.0,100.0,912820775.5,0
2024-01-22 12:00:00,35.24,10.0,100.0,930507363.5,0
2024-01-22 18:00:00,35.06,9.0,20.0,961579793.0,1
2024-01-23 00:00:00,35.06,9.0,20.0,961579793.0,1
2024-01-23 06:00:00,32.47,9.0,100.0,930916631.0,0
2024-01-23 12:00:00,35.01,9.0,100.0,907124412.0,0
2024-01-23 18:00:00,35.02,9.0,100.0,933668252.0,0
2024-01-24 00:00:00,35.06,9.0,20.0,961579793.0,1
2024-01-24 06:00:00,34.92,9.0,100.0,873511444.5,0
2024-01-24 12:00:00,33.6,10.0,100.0,615884654.0,0
2024-01-24 18:00:00,31.35,10.0,100.0,929875151.0,0
2024-01-25 00:00:00,32.55,10.0,100.0,911424446.0,0
2024-01-25 06:00:00,35.06,9.0,20.0,961579793.0,1
2024-01-25 12:00:00,36.6,9.0,100.0,910481454.0,0
2024-01-25 18:00:00,35.26,9.0,100.0,937560912.0,0
2024-01-26 00:00:00,35.06,9.0,20.0,961579793.0,1
2024-01-26 06:00:00,35.06,9.0,20.0,961579793.0,1
2024-01-26 12:00:00,35.06,9.0,20.0,961579793.0,1
2024-01-26 18:00:00,34.69,9.0,100.0,917347722.0,0
2024-01-27 00:00:00,35.06,9.0,20.0,961579793.0,1
2024-01-27 06:00:00,34.25,9.0,100.0,924384286.5,0
2024-01-27 12:00:00,39.86,9.0,100.0,907693589.0,0
2024-01-27 18:00:00,34.65,9.5,100.0,811199024.5,0
2024-01-28 00:00:00,34.82,9.0,100.0,908552744.0,0
2024-01-28 06:00:00,35.06,9.0,20.0,961579793.0,1
2024-01-28 12:00:00,35.2,9.0,100.0,516477916.0,0
2024-01-28 18:00:00,34.16,9.0,100.0,913857154.0,0
2024-01-29 00:00:00,35.06,9.0,20.0,961579793.0,1
2024-01-29 06:00:00,34.77,9.0,100.0,916702172.0,0
2024-01-29 12:00:00,35.06,9.0,20.0,961579793.0,1
2024-01-29 18:00:00,29.15,10.0,100.0,877974309.0,0
2024-01-30 00:00:00,27.46,10.0,100.0,895868106.0,0
2024-01-30 06:00:00,27.85,10.0,100.0,925093850.0,0
2024-01-30 12:00:00,28.4,10.0,100.0,913581341.0,0
2024-01-30 18:00:00,27.35,10.0,100.0,913834943.0,0
2024-01-31 00:00:00,35.06,9.0,20.0,961579793.0,1
2024-01-31 06:00:00,27.55,10.0,100.0,914636584.0,0
2024-01-31 12:00:00,34.67,9.0,100.0,930403764.0,0
2024-01-31 18:00:00,35.06,9.0,20.0,961579793.0,1
2024-02-01 00:00:00,35.06,9.0,20.0,961579793.0,1
2024-02-01 06:00:00,34.35,9.0,100.0,874120223.0,0
2024-02-01 12:00:00,35.06,9.0,20.0,961579793.0,1
2024-02-01 18:00:00,35.06,9.0,20.0,961579793.0,1
2024-02-02 00:00:00,35.06,9.0,20.0,961579793.0,1
2024-02-02 06:00:00,32.22,9.0,100.0,924011915.67,0
2024-02-02 12:00:00,33.81,9.0,100.0,789842006.0,0
2024-02-02 18:00:00,35.06,9.0,20.0,961579793.0,1
2024-02-03 00:00:00,35.06,9.0,20.0,961579793.0,1
2024-02-03 06:00:00,34.79,9.0,100.0,943981959.0,0
2024-02-03 12:00:00,34.12,9.0,100.0,937320961.0,0
2024-02-03 18:00:00,33.97,9.0,20.0,907493320.0,0
2024-02-04 00:00:00,33.35,9.0,100.0,932185229.0,0
2024-02-04 06:00:00,35.06,9.0,20.0,961579793.0,1
2024-02-04 12:00:00,34.51,9.0,100.0,908829282.0,0
2024-02-04 18:00:00,34.76,9.0,20.0,933824992.0,0
2024-02-05 00:00:00,35.06,9.0,20.0,961579793.0,1
2024-02-05 06:00:00,34.29,9.0,100.0,924635426.0,0
2024-02-05 12:00:00,34.12,9.0,100.0,551291202.0,0
2024-02-05 18:00:00,32.83,9.0,100.0,911994852.0,0
2024-02-06 00:00:00,35.06,9.0,20.0,961579793.0,1
2024-02-06 06:00:00,34.89,9.0,100.0,923571229.0,0
2024-02-06 12:00:00,33.99,9.0,100.0,923375068.5,0
2024-02-06 18:00:00,34.7,9.0,100.0,909799104.0,0
2024-02-07 00:00:00,35.06,9.0,20.0,961579793.0,1
2024-02-07 06:00:00,33.61,9.0,100.0,834667592.0,0
2024-02-07 12:00:00,35.06,9.0,20.0,961579793.0,1
2024-02-07 18:00:00,35.06,9.0,20.0,961579793.0,1
2024-02-08 00:00:00,35.06,9.0,20.0,961579793.0,1
2024-02-08 06:00:00,34.51,9.0,100.0,934539528.0,0
2024-02-08 12:00:00,35.36,9.0,100.0,937427834.0,0
2024-02-08 18:00:00,36.06,9.0,100.0,910745693.0,0
2024-02-09 00:00:00,35.06,9.0,20.0,961579793.0,1
2024-02-09 06:00:00,38.56,9.0,100.0,927702925.0,0
2024-02-09 12:00:00,33.11,9.0,100.0,910372772.0,0
2024-02-09 18:00:00,35.06,9.0,20.0,961579793.0,1
2024-02-10 00:00:00,35.06,9.0,20.0,961579793.0,1
2024-02-10 06:00:00,35.56,9.0,100.0,938868547.5,0
2024-02-10 12:00:00,35.02,9.0,100.0,926044893.0,0
2024-02-10 18:00:00,35.4,9.0,100.0,921167659.0,0
2024-02-11 00:00:00,35.06,9.0,20.0,961579793.0,1
2024-02-11 06:00:00,35.21,9.0,100.0,924365517.0,0
2024-02-11 12:00:00,40.4,9.0,100.0,943824012.0,0
2024-02-11 18:00:00,35.06,9.0,20.0,961579793.0,1
2024-02-12 00:00:00,37.36,9.0,100.0,938533063.0,0
2024-02-12 06:00:00,37.44,9.0,100.0,937467536.0,0
2024-02-12 12:00:00,37.78,9.0,100.0,375652821.0,0
2024-02-12 18:00:00,37.83,9.0,100.0,934352250.0,0
2024-02-13 00:00:00,37.11,9.0,100.0,925420980.0,0
2024-02-13 06:00:00,37.32,9.0,100.0,939213655.0,0
2024-02-13 12:00:00,35.06,9.0,20.0,961579793.0,1
2024-02-13 18:00:00,37.62,9.0,20.0,904962309.0,0
2024-02-14 00:00:00,35.06,9.0,20.0,961579793.0,1
2024-02-14 06:00:00,38.43,9.0,100.0,943719532.0,0
2024-02-14 12:00:00,37.21,9.0,100.0,937428397.0,0
2024-02-14 18:00:00,33.81,9.0,100.0,941379296.0,0
2024-02-15 00:00:00,35.06,9.0,20.0,961579793.0,1
2024-02-15 06:00:00,34.3,9.0,100.0,933836155.0,0
2024-02-15 12:00:00,35.06,9.0,20.0,961579793.0,1
2024-02-15 18:00:00,35.06,9.0,20.0,961579793.0,1
2024-02-16 00:00:00,35.06,9.0,20.0,961579793.0,1
2024-02-16 06:00:00,35.06,9.0,20.0,961579793.0,1
2024-02-16 12:00:00,29.72,10.0,100.0,915775333.0,0
2024-02-16 18:00:00,59.68,10.0,100.0,869586250.0,0
2024-02-17 00:00:00,61.17,10.0,100.0,884552197.0,0
2024-02-17 06:00:00,35.06,9.0,20.0,961579793.0,1
2024-02-17 12:00:00,36.63,10.0,100.0,916772884.0,0
2024-02-17 18:00:00,31.59,10.0,100.0,851429961.0,0
2024-02-18 00:00:00,35.06,9.0,20.0,961579793.0,1
2024-02-18 06:00:00,31.88,10.0,100.0,870057023.0,0
2024-02-18 12:00:00,32.57,10.0,100.0,903952307.5,0
2024-02-18 18:00:00,32.02,9.0,20.0,926626147.0,0
2024-02-19 00:00:00,35.06,9.0,20.0,961579793.0,1
2024-02-19 06:00:00,35.06,9.0,20.0,961579793.0,1
2024-02-19 12:00:00,32.93,10.0,100.0,904031877.0,0
2024-02-19 18:00:00,32.96,10.0,100.0,924217520.0,0
2024-02-20 00:00:00,35.06,9.0,20.0,961579793.0,1
2024-02-20 06:00:00,35.52,10.0,100.0,926941508.0,0
2024-02-20 12:00:00,35.54,10.0,100.0,925003862.0,0
2024-02-20 18:00:00,35.77,10.0,100.0,941552797.0,0
2024-02-21 00:00:00,35.06,9.0,20.0,961579793.0,1
2024-02-21 06:00:00,39.38,9.0,20.0,908120516.0,0
2024-02-21 12:00:00,34.92,9.0,100.0,917663001.0,0
2024-02-21 18:00:00,35.06,9.0,20.0,961579793.0,1
2024-02-22 00:00:00,35.06,9.0,20.0,961579793.0,1
2024-02-22 06:00:00,34.4,9.0,100.0,909456216.0,0
2024-02-22 12:00:00,34.6,9.0,100.0,935855062.0,0
2024-02-22 18:00:00,35.06,9.0,20.0,961579793.0,1
2024-02-23 00:00:00,35.06,9.0,20.0,961579793.0,1
2024-02-23 06:00:00,34.94,9.0,100.0,915774215.0,0
