Data,Atraso(ms),Hop_count,Bottleneck,Vazao_BBR,is_imputed
2024-01-16 00:00:00,6.61,4.0,100.0,905713135.0,0
2024-01-16 06:00:00,-4.5,4.0,100.0,925946564.0,0
2024-01-16 12:00:00,15.3,4.0,100.0,921682249.33,0
2024-01-16 18:00:00,11.15,4.0,100.0,910434499.0,0
2024-01-17 00:00:00,2.9,4.0,100.0,918368682.0,0
2024-01-17 06:00:00,4.64,4.0,100.0,903720031.0,0
2024-01-17 12:00:00,1.61,4.0,100.0,918810441.9636879,1
2024-01-17 18:00:00,1.61,4.0,100.0,921582427.8504639,1
2024-01-18 00:00:00,1.61,4.0,100.0,921933665.7710321,1
2024-01-18 06:00:00,1.61,4.0,100.0,921711593.2793689,1
2024-01-18 12:00:00,1.61,4.0,100.0,923351143.4449432,1
2024-01-18 18:00:00,1.61,4.0,100.0,923727719.144618,1
2024-01-19 00:00:00,1.61,4.0,100.0,923952273.9267495,1
2024-01-19 06:00:00,1.61,4.0,100.0,923558644.9373872,1
2024-01-19 12:00:00,1.61,4.0,100.0,923725367.8284885,1
2024-01-19 18:00:00,1.61,4.0,100.0,922924222.6366546,1
2024-01-20 00:00:00,1.61,4.0,100.0,923348449.1245888,1
2024-01-20 06:00:00,1.61,4.0,100.0,923358212.7903112,1
2024-01-20 12:00:00,1.61,4.0,100.0,923967800.588747,1
2024-01-20 18:00:00,1.61,4.0,100.0,923612753.9264235,1
2024-01-21 00:00:00,1.61,4.0,100.0,924238818.6023542,1
2024-01-21 06:00:00,1.61,4.0,100.0,924223687.7143737,1
2024-01-21 12:00:00,1.61,4.0,100.0,924394480.8800775,1
2024-01-21 18:00:00,1.61,4.0,100.0,923605990.8599938,1
2024-01-22 00:00:00,1.61,4.0,100.0,924934935.4008782,1
2024-01-22 06:00:00,1.61,4.0,100.0,924694386.8244843,1
2024-01-22 12:00:00,1.61,4.0,100.0,924965992.6205214,1
2024-01-22 18:00:00,1.61,4.0,100.0,924297463.9066452,1
2024-01-23 00:00:00,1.61,4.0,100.0,924756172.3404584,1
2024-01-23 06:00:00,1.61,4.0,100.0,924634165.0412021,1
2024-01-23 12:00:00,1.61,4.0,100.0,924865649.8518732,1
2024-01-23 18:00:00,1.61,4.0,100.0,924097779.0712696,1
2024-01-24 00:00:00,1.61,4.0,100.0,924625710.8665442,1
2024-01-24 06:00:00,1.61,4.0,100.0,924529474.5164845,1
2024-01-24 12:00:00,1.61,4.0,100.0,924730864.9415722,1
2024-01-24 18:00:00,1.61,4.0,100.0,923997998.2500315,1
2024-01-25 00:00:00,1.61,4.0,100.0,924545979.1955324,1
2024-01-25 06:00:00,1.61,4.0,100.0,924539441.0331215,1
2024-01-25 12:00:00,1.61,4.0,100.0,924739331.6803347,1
2024-01-25 18:00:00,1.99,4.0,100.0,896745019.0,0
2024-01-26 00:00:00,-2.54,4.0,100.0,910167335.0,0
2024-01-26 06:00:00,1.61,4.0,100.0,924640283.510516,1
2024-01-26 12:00:00,1.61,4.0,100.0,924718636.2573538,1
2024-01-26 18:00:00,1.61,4.0,100.0,924229124.2432925,1
2024-01-27 00:00:00,-1.02,4.0,100.0,911475827.0,0
2024-01-27 06:00:00,-1.11,4.0,100.0,892338814.5,0
2024-01-27 12:00:00,1.61,4.0,100.0,924880819.9086938,1
2024-01-27 18:00:00,2.86,4.0,100.0,903351745.0,0
2024-01-28 00:00:00,0.98,4.0,100.0,915251849.0,0
2024-01-28 06:00:00,7.54,4.0,100.0,907436626.0,0
2024-01-28 12:00:00,7.77,4.0,100.0,874237818.0,0
2024-01-28 18:00:00,1.61,4.0,100.0,922139144.4968419,1
2024-01-29 00:00:00,1.61,4.0,100.0,925040712.1414783,1
2024-01-29 06:00:00,1.61,4.0,100.0,925552163.4622164,1
2024-01-29 12:00:00,1.61,4.0,100.0,925844399.273255,1
2024-01-29 18:00:00,-0.25,4.0,100.0,902141865.0,0
2024-01-30 00:00:00,1.61,4.0,100.0,925859175.4907798,1
2024-01-30 06:00:00,2.88,4.0,100.0,895932196.0,0
2024-01-30 12:00:00,1.61,4.0,100.0,925680489.7115998,1
2024-01-30 18:00:00,1.61,4.0,100.0,925233661.214036,1
2024-01-31 00:00:00,1.61,4.0,100.0,925728930.424474,1
2024-01-31 06:00:00,1.61,4.0,100.0,925447216.4965346,1
2024-01-31 12:00:00,1.61,4.0,100.0,925809399.0980692,1
2024-01-31 18:00:00,1.61,4.0,100.0,925025906.229657,1
2024-02-01 00:00:00,1.61,4.0,100.0,924622658.6475556,1
2024-02-01 06:00:00,15.94,4.0,100.0,925740228.0,0
