Data,Atraso(ms),Hop_count,Bottleneck,Vazao_BBR,is_imputed
2025-04-25 18:00:00,42.0,13.0,6.0,682939256.0,0
2025-04-26 00:00:00,33.96,12.0,6.0,713952472.0,1
2025-04-26 06:00:00,43.9,13.0,6.0,673134002.0,0
2025-04-26 12:00:00,33.96,12.0,6.0,783913391.0,0
2025-04-26 18:00:00,33.96,13.0,6.0,745121272.0,0
2025-04-27 00:00:00,43.25,14.0,6.0,708970695.0,0
2025-04-27 06:00:00,38.97,12.0,6.0,600888036.5,0
2025-04-27 12:00:00,85.89,15.0,1.0,779981939.0,0
2025-04-27 18:00:00,35.9,12.0,6.0,772174030.0,0
2025-04-28 00:00:00,35.61,12.0,6.0,719325509.0,0
2025-04-28 06:00:00,32.76,12.0,6.0,744874086.5,0
2025-04-28 12:00:00,33.96,14.0,6.0,693499663.0,0
2025-04-28 18:00:00,33.96,12.0,6.0,713952472.0,1
2025-04-29 00:00:00,33.96,12.0,6.0,713952472.0,1
2025-04-29 06:00:00,33.96,12.0,6.0,713952472.0,1
2025-04-29 12:00:00,33.96,12.0,6.0,713952472.0,1
2025-04-29 18:00:00,33.96,12.0,6.0,713952472.0,1
2025-04-30 00:00:00,33.96,12.0,6.0,713952472.0,1
2025-04-30 06:00:00,33.96,12.0,6.0,713952472.0,1
2025-04-30 12:00:00,34.41,11.0,6.0,639003811.0,0
2025-04-30 18:00:00,33.96,12.0,6.0,785856422.0,0
2025-05-01 00:00:00,33.96,11.0,6.0,759118075.0,0
2025-05-01 06:00:00,33.96,11.0,6.0,724408714.5,0
2025-05-01 12:00:00,32.16,11.0,6.0,726953649.5,0
2025-05-01 18:00:00,32.85,12.0,6.0,788689711.0,0
2025-05-02 00:00:00,32.95,12.0,6.0,703696557.5,0
2025-05-02 06:00:00,33.96,12.0,6.0,713952472.0,1
2025-05-02 12:00:00,33.96,12.0,6.0,713952472.0,1
2025-05-02 18:00:00,33.96,12.0,6.0,713952472.0,1
2025-05-03 00:00:00,33.96,12.0,6.0,713952472.0,1
2025-05-03 06:00:00,33.96,12.0,6.0,713952472.0,1
2025-05-03 12:00:00,33.96,12.0,6.0,713952472.0,1
2025-05-03 18:00:00,33.96,12.0,6.0,713952472.0,1
2025-05-04 00:00:00,33.96,12.0,6.0,713952472.0,1
2025-05-04 06:00:00,33.96,12.0,6.0,713952472.0,1
2025-05-04 12:00:00,33.96,12.0,6.0,713952472.0,1
2025-05-04 18:00:00,33.96,12.0,6.0,713952472.0,1
2025-05-05 00:00:00,33.96,12.0,6.0,713952472.0,1
2025-05-05 06:00:00,33.96,12.0,6.0,713952472.0,1
2025-05-05 12:00:00,33.96,12.0,6.0,713952472.0,1
2025-05-05 18:00:00,33.96,12.0,6.0,713952472.0,1
2025-05-06 00:00:00,33.96,12.0,6.0,713952472.0,1
2025-05-06 06:00:00,33.96,12.0,6.0,713952472.0,1
2025-05-06 12:00:00,33.96,12.0,6.0,744134263.0,0
2025-05-06 18:00:00,33.96,12.0,6.0,713952472.0,1
2025-05-07 00:00:00,33.96,12.0,6.0,713952472.0,1
2025-05-07 06:00:00,33.96,12.0,6.0,713952472.0,1
2025-05-07 12:00:00,33.96,12.0,6.0,713952472.0,1
2025-05-07 18:00:00,33.96,12.0,6.0,713952472.0,1
2025-05-08 00:00:00,33.96,12.0,6.0,713952472.0,1
2025-05-08 06:00:00,33.96,12.0,6.0,713952472.0,1
2025-05-08 12:00:00,33.96,12.0,6.0,713952472.0,1
2025-05-08 18:00:00,33.96,12.0,6.0,713952472.0,1
2025-05-09 00:00:00,33.96,12.0,6.0,713952472.0,1
2025-05-09 06:00:00,33.96,12.0,6.0,713952472.0,1
2025-05-09 12:00:00,33.96,12.0,6.0,713952472.0,1
2025-05-09 18:00:00,33.96,12.0,6.0,713952472.0,1
2025-05-10 00:00:00,33.96,12.0,6.0,713952472.0,1
2025-05-10 06:00:00,33.96,12.0,6.0,713952472.0,1
2025-05-10 12:00:00,33.96,12.0,6.0,713952472.0,1
2025-05-10 18:00:00,33.96,12.0,6.0,713952472.0,1
2025-05-11 00:00:00,33.96,12.0,6.0,713952472.0,1
2025-05-11 06:00:00,33.96,12.0,6.0,713952472.0,1
2025-05-11 12:00:00,33.96,12.0,6.0,713952472.0,1
2025-05-11 18:00:00,33.96,12.0,6.0,713952472.0,1
2025-05-12 00:00:00,33.96,12.0,6.0,713952472.0,1
2025-05-12 06:00:00,33.96,12.0,6.0,713952472.0,1
2025-05-12 12:00:00,33.96,12.0,6.0,683883079.0,0
