Data,Atraso(ms),Hop_count,Bottleneck,Vazao_BBR,is_imputed
2024-04-22 18:00:00,39.39,7.0,100.0,927942697.5,0
2024-04-23 00:00:00,35.8,8.0,10.0,786884447.7344792,1
2024-04-23 06:00:00,26.45,8.0,20.0,850500132.33,0
2024-04-23 12:00:00,27.11,8.0,20.0,908333410.0,0
2024-04-23 18:00:00,26.38,8.0,20.0,938548221.0,0
2024-04-24 00:00:00,35.8,8.0,10.0,940022263.7827424,1
2024-04-24 06:00:00,39.86,7.0,100.0,935918656.0,0
2024-04-24 12:00:00,97.03,7.0,100.0,510997588.0,0
2024-04-24 18:00:00,117.17,11.0,10.0,878946407.5,0
2024-04-25 00:00:00,35.8,8.0,10.0,909564937.6625347,1
2024-04-25 06:00:00,55.57,8.0,3.0,516424532.0,0
2024-04-25 12:00:00,35.8,8.0,10.0,907111767.1584321,1
2024-04-25 18:00:00,86.42,10.0,1.0,903613888.5,0
2024-04-26 00:00:00,35.8,8.0,10.0,910543427.1611482,1
2024-04-26 06:00:00,54.54,8.0,3.0,889192937.0,0
2024-04-26 12:00:00,43.53,7.0,100.0,938319031.0,0
2024-04-26 18:00:00,39.36,7.0,100.0,934931984.0,0
2024-04-27 00:00:00,35.8,8.0,10.0,906675302.516895,1
2024-04-27 06:00:00,35.8,8.0,10.0,907858950.8440459,1
2024-04-27 12:00:00,35.8,8.0,10.0,908962180.1845156,1
2024-04-27 18:00:00,35.8,8.0,10.0,909539100.4648073,1
2024-04-28 00:00:00,35.8,8.0,10.0,909477957.7604313,1
2024-04-28 06:00:00,35.8,8.0,10.0,909897900.5933863,1
2024-04-28 12:00:00,35.8,8.0,10.0,908036116.3648754,1
2024-04-28 18:00:00,35.8,8.0,10.0,908010165.1440597,1
2024-04-29 00:00:00,35.8,8.0,10.0,907910468.7941325,1
2024-04-29 06:00:00,35.8,8.0,10.0,908274343.9224832,1
2024-04-29 12:00:00,35.8,8.0,10.0,907466124.9114622,1
2024-04-29 18:00:00,35.8,8.0,10.0,907451651.7038637,1
2024-04-30 00:00:00,35.8,8.0,10.0,907033066.1608428,1
2024-04-30 06:00:00,35.8,8.0,10.0,907518069.0203103,1
2024-04-30 12:00:00,35.8,8.0,10.0,906486393.3138717,1
2024-04-30 18:00:00,32.1,7.0,100.0,935806330.0,0
2024-05-01 00:00:00,35.8,8.0,10.0,905318912.7503278,1
2024-05-01 06:00:00,31.07,7.0,100.0,924608884.5,0
2024-05-01 12:00:00,35.8,8.0,10.0,906018829.7908051,1
2024-05-01 18:00:00,35.46,7.0,100.0,939450396.0,0
2024-05-02 00:00:00,35.8,8.0,10.0,904654882.8695649,1
2024-05-02 06:00:00,32.44,7.0,100.0,931825210.0,0
2024-05-02 12:00:00,33.37,7.0,100.0,906310747.0,0
2024-05-02 18:00:00,35.8,8.0,10.0,905318487.2906009,1
2024-05-03 00:00:00,35.8,8.0,10.0,907313362.7077552,1
2024-05-03 06:00:00,32.15,7.0,100.0,930643711.0,0
2024-05-03 12:00:00,51.52,13.0,10.0,925733956.0,0
2024-05-03 18:00:00,35.8,8.0,10.0,903553451.3598131,1
2024-05-04 00:00:00,35.8,8.0,10.0,905958964.7294756,1
2024-05-04 06:00:00,32.22,8.0,10.0,937190310.5,0
2024-05-04 12:00:00,32.37,7.0,100.0,928988926.0,0
2024-05-04 18:00:00,30.35,7.0,100.0,950956665.0,0
2024-05-05 00:00:00,35.8,8.0,10.0,899814379.1324027,1
2024-05-05 06:00:00,31.27,7.0,100.0,929467125.5,0
2024-05-05 12:00:00,29.66,7.0,100.0,908699278.0,0
2024-05-05 18:00:00,33.88,7.0,100.0,933341464.0,0
2024-05-06 00:00:00,35.8,8.0,10.0,903792315.357883,1
2024-05-06 06:00:00,35.8,8.0,10.0,904579145.3624179,1
2024-05-06 12:00:00,35.8,8.0,10.0,906597409.5187858,1
