Data,Atraso(ms),Hop_count,Bottleneck,Vazao_BBR,is_imputed
2024-01-16 00:00:00,37.31,7.0,1.0,578737942.5,0
2024-01-16 06:00:00,31.26,7.0,1.0,867908134.0,0
2024-01-16 12:00:00,45.66,7.0,1.0,856303990.5,0
2024-01-16 18:00:00,36.59,7.0,1.0,896859257.8841376,1
2024-01-17 00:00:00,52.62,8.0,100.0,895745286.0,0
2024-01-17 06:00:00,36.59,7.0,1.0,894760893.9941276,1
2024-01-17 12:00:00,40.35,7.0,1.0,661441244.0,0
2024-01-17 18:00:00,33.76,8.0,100.0,678826857.0,0
2024-01-18 00:00:00,36.59,7.0,1.0,863877578.6612105,1
2024-01-18 06:00:00,35.79,8.0,1.0,678535463.0,0
2024-01-18 12:00:00,36.59,7.0,1.0,862508598.1168597,1
2024-01-18 18:00:00,33.31,8.0,100.0,870612411.0,0
2024-01-19 00:00:00,36.59,7.0,1.0,871642874.265589,1
2024-01-19 06:00:00,36.59,7.0,1.0,873399104.6961622,1
2024-01-19 12:00:00,36.59,7.0,1.0,871851386.570559,1
2024-01-19 18:00:00,36.59,7.0,1.0,875115582.3467345,1
2024-01-20 00:00:00,31.35,7.0,100.0,661240125.0,0
2024-01-20 06:00:00,36.59,7.0,1.0,874067429.9143499,1
2024-01-20 12:00:00,36.59,7.0,1.0,875226039.660301,1
2024-01-20 18:00:00,36.59,7.0,1.0,878291138.1119789,1
2024-01-21 00:00:00,36.59,7.0,1.0,877618831.4332879,1
2024-01-21 06:00:00,36.59,7.0,1.0,877717880.3692067,1
2024-01-21 12:00:00,36.59,7.0,1.0,876851392.4379941,1
2024-01-21 18:00:00,36.59,7.0,1.0,875812078.0380101,1
2024-01-22 00:00:00,36.59,7.0,1.0,878796911.7764977,1
2024-01-22 06:00:00,41.88,7.0,100.0,848141545.0,0
2024-01-22 12:00:00,30.83,8.0,3.0,861298948.0,0
2024-01-22 18:00:00,29.42,7.0,100.0,896129050.0,0
2024-01-23 00:00:00,36.59,7.0,1.0,874220438.6657579,1
2024-01-23 06:00:00,36.59,7.0,1.0,874723751.8094834,1
2024-01-23 12:00:00,36.59,7.0,1.0,872842720.5168471,1
2024-01-23 18:00:00,36.59,7.0,1.0,873454518.3894647,1
2024-01-24 00:00:00,36.59,7.0,1.0,876127747.7191988,1
2024-01-24 06:00:00,36.59,7.0,1.0,874568680.7412583,1
2024-01-24 12:00:00,36.16,9.0,1.0,674037796.0,0
2024-01-24 18:00:00,36.59,7.0,1.0,874610196.3104444,1
2024-01-25 00:00:00,36.59,7.0,1.0,877139777.1410146,1
2024-01-25 06:00:00,36.59,7.0,100.0,600841655.5,0
2024-01-25 12:00:00,36.59,7.0,1.0,870191521.1188432,1
2024-01-25 18:00:00,36.59,7.0,1.0,874655285.3137012,1
2024-01-26 00:00:00,36.59,7.0,1.0,880960437.7583568,1
2024-01-26 06:00:00,36.59,7.0,1.0,876957552.1320902,1
2024-01-26 12:00:00,36.59,7.0,1.0,875937828.3103429,1
2024-01-26 18:00:00,36.59,7.0,1.0,877292990.8034301,1
2024-01-27 00:00:00,36.59,7.0,1.0,878026897.0819609,1
2024-01-27 06:00:00,36.59,7.0,1.0,878178902.2895691,1
2024-01-27 12:00:00,36.59,7.0,1.0,875820550.1739244,1
2024-01-27 18:00:00,36.59,7.0,1.0,876324389.7252089,1
2024-01-28 00:00:00,36.59,7.0,1.0,878144708.7390113,1
2024-01-28 06:00:00,36.59,7.0,1.0,877758119.522537,1
2024-01-28 12:00:00,36.59,7.0,1.0,875777380.2061082,1
2024-01-28 18:00:00,36.59,7.0,1.0,876394035.2370393,1
2024-01-29 00:00:00,36.59,7.0,1.0,878766830.9186914,1
2024-01-29 06:00:00,36.59,7.0,1.0,877646469.6661531,1
2024-01-29 12:00:00,36.59,7.0,1.0,875790385.6463408,1
2024-01-29 18:00:00,31.93,8.0,100.0,666422210.0,0
2024-01-30 00:00:00,36.58,7.0,100.0,668942455.0,0
2024-01-30 06:00:00,36.48,7.0,100.0,654787441.0,0
2024-01-30 12:00:00,35.67,7.0,100.0,768696216.0,0
2024-01-30 18:00:00,36.59,7.0,1.0,870956161.141827,1
2024-01-31 00:00:00,36.59,7.0,1.0,877888997.5175786,1
2024-01-31 06:00:00,37.53,12.0,1.0,903246889.0,0
2024-01-31 12:00:00,24.11,8.0,3.0,878264226.0,0
2024-01-31 18:00:00,42.45,9.0,1.0,680160114.0,0
2024-02-01 00:00:00,36.59,7.0,1.0,876732356.6008248,1
