Data,Atraso(ms),Hop_count,Bottleneck,Vazao_BBR,is_imputed
2024-01-15 18:00:00,55.45,9.0,1.0,853423645.0,0
2024-01-16 00:00:00,55.45,9.0,1.0,256164159.0,1
2024-01-16 06:00:00,50.15,9.0,1.0,256164159.0,0
2024-01-16 12:00:00,55.45,9.0,1.0,265656344.0,1
2024-01-16 18:00:00,50.52,9.0,3.0,265656344.0,0
2024-01-17 00:00:00,55.45,9.0,1.0,254281752.0,1
2024-01-17 06:00:00,55.45,9.0,1.0,254281752.0,1
2024-01-17 12:00:00,55.45,9.0,1.0,254281752.0,1
2024-01-17 18:00:00,55.14,7.0,1.0,254281752.0,0
2024-01-18 00:00:00,71.65,8.0,1.0,269589442.0,0
2024-01-18 06:00:00,58.62,8.0,1.0,815530595.0,0
2024-01-18 12:00:00,58.2,13.0,1.0,816633275.0,0
2024-01-18 18:00:00,58.2,13.0,1.0,876869057.0,0
2024-01-19 00:00:00,55.45,9.0,1.0,791678086.0,1
2024-01-19 06:00:00,55.45,9.0,1.0,791678086.0,1
2024-01-19 12:00:00,49.75,7.0,1.0,791678086.0,0
2024-01-19 18:00:00,44.6,13.0,100.0,280756827.0,0
2024-01-20 00:00:00,55.45,9.0,1.0,274255615.0,1
2024-01-20 06:00:00,62.55,7.0,1.0,274255615.0,0
2024-01-20 12:00:00,55.45,9.0,1.0,900515988.0,1
2024-01-20 18:00:00,53.93,8.0,300.0,900515988.0,0
2024-01-21 00:00:00,55.45,9.0,1.0,823610443.0,1
2024-01-21 06:00:00,48.07,13.0,100.0,823610443.0,0
2024-01-21 12:00:00,55.45,9.0,1.0,881749630.0,1
2024-01-21 18:00:00,76.2,9.0,1.0,881749630.0,0
2024-01-22 00:00:00,55.45,9.0,1.0,739548911.0,1
2024-01-22 06:00:00,55.45,9.0,1.0,739548911.0,1
2024-01-22 12:00:00,49.74,12.0,1.0,739548911.0,0
2024-01-22 18:00:00,42.34,10.0,1.0,274464905.0,0
2024-01-23 00:00:00,55.45,9.0,1.0,761211236.0,1
2024-01-23 06:00:00,55.45,9.0,1.0,761211236.0,1
2024-01-23 12:00:00,49.03,13.0,1.0,761211236.0,0
2024-01-23 18:00:00,69.89,14.0,1.0,859314390.0,0
2024-01-24 00:00:00,55.45,9.0,1.0,262878279.0,1
2024-01-24 06:00:00,67.73,7.0,1.0,262878279.0,0
2024-01-24 12:00:00,71.37,9.0,1.0,798062163.0,0
2024-01-24 18:00:00,47.83,13.0,1.0,797392091.0,0
2024-01-25 00:00:00,55.45,9.0,1.0,894334316.0,1
2024-01-25 06:00:00,55.45,13.0,100.0,894334316.0,0
2024-01-25 12:00:00,55.45,9.0,1.0,246573694.0,1
2024-01-25 18:00:00,55.45,9.0,1.0,246573694.0,1
2024-01-26 00:00:00,55.45,9.0,1.0,246573694.0,1
2024-01-26 06:00:00,55.45,9.0,1.0,246573694.0,1
2024-01-26 12:00:00,55.45,9.0,1.0,246573694.0,1
2024-01-26 18:00:00,55.45,9.0,1.0,246573694.0,1
2024-01-27 00:00:00,55.45,9.0,1.0,246573694.0,1
2024-01-27 06:00:00,55.45,9.0,1.0,246573694.0,1
2024-01-27 12:00:00,55.45,9.0,1.0,246573694.0,1
2024-01-27 18:00:00,55.45,9.0,1.0,246573694.0,1
2024-01-28 00:00:00,55.45,9.0,1.0,246573694.0,1
2024-01-28 06:00:00,55.45,9.0,1.0,246573694.0,1
2024-01-28 12:00:00,55.45,9.0,1.0,246573694.0,1
2024-01-28 18:00:00,55.45,9.0,1.0,246573694.0,1
2024-01-29 00:00:00,55.45,9.0,1.0,246573694.0,1
2024-01-29 06:00:00,55.45,9.0,1.0,246573694.0,1
2024-01-29 12:00:00,55.45,9.0,1.0,246573694.0,1
2024-01-29 18:00:00,57.97,7.0,1.0,246573694.0,0
2024-01-30 00:00:00,55.45,9.0,1.0,528824331.5,1
2024-01-30 06:00:00,57.93,7.0,1.0,528824331.5,0
2024-01-30 12:00:00,60.87,12.0,1.0,766476419.5,0
2024-01-30 18:00:00,55.45,9.0,1.0,656619702.0,1
2024-01-31 00:00:00,60.68,7.0,1.0,656619702.0,0
2024-01-31 06:00:00,50.5,13.0,1.0,808297234.0,0
2024-01-31 12:00:00,40.0,13.0,1.0,830944882.0,0
2024-01-31 18:00:00,60.16,13.0,1.0,269176594.0,0
2024-02-01 00:00:00,55.45,9.0,1.0,266385591.0,1
2024-02-01 06:00:00,54.56,8.0,1.0,266385591.0,0
2024-02-01 12:00:00,82.81,13.0,100.0,817993769.0,0
2024-02-01 18:00:00,38.9,9.0,1.0,557450602.0,0
2024-02-02 00:00:00,55.45,9.0,1.0,766509862.0,1
2024-02-02 06:00:00,60.62,9.0,1.0,766509862.0,0
2024-02-02 12:00:00,55.45,9.0,1.0,569613225.0,1
2024-02-02 18:00:00,49.71,13.0,1.0,569613225.0,0
2024-02-03 00:00:00,55.45,9.0,1.0,243305227.0,1
2024-02-03 06:00:00,56.55,7.0,1.0,243305227.0,0
2024-02-03 12:00:00,69.1,7.5,1.0,263403016.0,0
2024-02-03 18:00:00,55.01,8.0,1.0,270197427.5,0
2024-02-04 00:00:00,55.45,9.0,1.0,265395249.0,1
2024-02-04 06:00:00,55.45,9.0,1.0,265395249.0,1
2024-02-04 12:00:00,52.31,8.0,1.0,265395249.0,0
2024-02-04 18:00:00,51.4,13.0,1.0,574070247.0,0
2024-02-05 00:00:00,55.45,9.0,1.0,224867561.0,1
2024-02-05 06:00:00,61.38,7.0,1.0,224867561.0,0
2024-02-05 12:00:00,66.39,8.0,1.0,818154614.0,0
2024-02-05 18:00:00,67.05,7.0,1.0,275776094.0,0
2024-02-06 00:00:00,58.68,8.0,1.0,272578327.0,0
2024-02-06 06:00:00,55.24,7.0,1.0,258632641.0,0
2024-02-06 12:00:00,54.93,7.0,1.0,822083008.0,0
2024-02-06 18:00:00,83.9,13.0,1.0,645975858.0,0
2024-02-07 00:00:00,55.45,9.0,1.0,377068049.0,1
2024-02-07 06:00:00,62.32,9.0,1.0,377068049.0,0
2024-02-07 12:00:00,55.45,9.0,1.0,729338615.67,1
2024-02-07 18:00:00,55.45,9.0,1.0,729338615.67,1
2024-02-08 00:00:00,62.44,8.0,1.0,729338615.67,0
2024-02-08 06:00:00,55.45,9.0,1.0,497891876.5,1
2024-02-08 12:00:00,72.07,13.0,100.0,497891876.5,0
2024-02-08 18:00:00,66.06,8.0,1.0,245786411.0,0
2024-02-09 00:00:00,55.45,9.0,1.0,763889602.0,1
2024-02-09 06:00:00,55.45,9.0,1.0,763889602.0,1
2024-02-09 12:00:00,83.82,13.0,100.0,763889602.0,0
2024-02-09 18:00:00,98.76,15.0,1.0,843264804.5,0
2024-02-10 00:00:00,55.45,9.0,1.0,262878200.0,1
2024-02-10 06:00:00,71.09,7.0,1.0,262878200.0,0
2024-02-10 12:00:00,53.82,8.0,1.0,262407009.0,0
2024-02-10 18:00:00,57.54,8.0,1.0,268121030.0,0
