Data,Atraso(ms),Hop_count,Bottleneck,Vazao_BBR,is_imputed
2024-01-15 12:00:00,15.92,4.0,10.0,898631788.0,0
2024-01-15 18:00:00,15.92,4.0,10.0,892260398.8978821,1
2024-01-16 00:00:00,15.92,4.0,10.0,902238496.1543094,1
2024-01-16 06:00:00,36.66,4.0,10.0,898424408.0,0
2024-01-16 12:00:00,48.06,4.0,10.0,907753468.0,0
2024-01-16 18:00:00,22.98,9.0,100.0,924324735.0,0
2024-01-17 00:00:00,15.92,4.0,10.0,903725947.7668234,1
2024-01-17 06:00:00,15.92,4.0,10.0,904427137.7916372,1
2024-01-17 12:00:00,23.23,9.0,100.0,898308733.0,0
2024-01-17 18:00:00,46.29,9.0,100.0,885628087.0,0
2024-01-18 00:00:00,15.92,4.0,10.0,905879298.9891142,1
2024-01-18 06:00:00,15.92,4.0,10.0,907558278.405914,1
2024-01-18 12:00:00,15.92,4.0,10.0,907369234.2946992,1
2024-01-18 18:00:00,7.85,9.0,100.0,925295257.0,0
2024-01-19 00:00:00,15.92,4.0,10.0,906825635.8026297,1
2024-01-19 06:00:00,15.92,4.0,10.0,905947643.0884461,1
2024-01-19 12:00:00,49.33,11.0,100.0,897581504.0,0
2024-01-19 18:00:00,23.67,9.0,100.0,911539250.5,0
2024-01-20 00:00:00,15.92,4.0,10.0,909450372.2059294,1
2024-01-20 06:00:00,15.92,4.0,10.0,909158199.9182203,1
2024-01-20 12:00:00,28.7,9.0,100.0,918083509.0,0
2024-01-20 18:00:00,24.89,9.0,100.0,918371691.5,0
2024-01-21 00:00:00,50.23,9.0,100.0,911739795.0,0
2024-01-21 06:00:00,25.45,9.0,100.0,912676525.0,0
2024-01-21 12:00:00,25.29,9.0,100.0,918032327.0,0
2024-01-21 18:00:00,15.92,4.0,10.0,910560408.1242499,1
2024-01-22 00:00:00,15.0,4.0,10.0,917773210.0,0
2024-01-22 06:00:00,9.96,4.0,10.0,911352336.5,0
2024-01-22 12:00:00,28.81,9.0,100.0,912789926.0,0
2024-01-22 18:00:00,20.7,4.0,10.0,915925136.0,0
2024-01-23 00:00:00,15.92,4.0,10.0,911385156.5595381,1
2024-01-23 06:00:00,20.2,4.0,10.0,874824954.0,0
2024-01-23 12:00:00,15.92,4.0,10.0,911488156.1457024,1
2024-01-23 18:00:00,23.67,10.0,10.0,878959576.5,0
2024-01-24 00:00:00,15.22,4.0,10.0,894014690.0,0
2024-01-24 06:00:00,15.92,4.0,10.0,910953721.6606756,1
2024-01-24 12:00:00,57.76,9.0,100.0,873080436.0,0
2024-01-24 18:00:00,26.14,9.0,100.0,892733429.5,0
2024-01-25 00:00:00,15.92,4.0,10.0,910174132.0950944,1
2024-01-25 06:00:00,30.27,9.0,100.0,892444221.5,0
2024-01-25 12:00:00,15.92,4.0,10.0,910956805.9557322,1
2024-01-25 18:00:00,37.7,9.0,100.0,866890703.5,0
2024-01-26 00:00:00,15.92,4.0,10.0,911276121.3092622,1
2024-01-26 06:00:00,15.92,4.0,10.0,910509226.3493127,1
2024-01-26 12:00:00,45.29,9.0,100.0,871630586.0,0
2024-01-26 18:00:00,37.1,9.0,100.0,879875967.0,0
2024-01-27 00:00:00,40.39,9.0,100.0,896481530.0,0
