Data,Atraso(ms),Hop_count,Bottleneck,Vazao_BBR,is_imputed
2024-01-16 00:00:00,12.72,8.0,10.0,900204611.0,0
2024-01-16 06:00:00,12.72,8.0,10.0,871352285.6258442,1
2024-01-16 12:00:00,19.91,8.0,10.0,837733587.0,0
2024-01-16 18:00:00,12.72,11.0,100.0,911006132.0,0
2024-01-17 00:00:00,12.72,8.0,10.0,893051661.9960768,1
2024-01-17 06:00:00,34.51,11.0,100.0,883947755.0,0
2024-01-17 12:00:00,24.8,11.0,100.0,902274757.0,0
2024-01-17 18:00:00,16.83,11.0,100.0,924113586.0,0
2024-01-18 00:00:00,12.72,8.0,10.0,901163374.451479,1
2024-01-18 06:00:00,12.72,8.0,10.0,904633539.8365171,1
2024-01-18 12:00:00,12.72,8.0,10.0,904798368.7237147,1
2024-01-18 18:00:00,12.72,8.0,10.0,907152730.9300764,1
2024-01-19 00:00:00,44.95,12.0,100.0,894376038.0,0
2024-01-19 06:00:00,44.39,12.0,100.0,913101783.0,0
2024-01-19 12:00:00,45.69,11.0,100.0,896162969.0,0
2024-01-19 18:00:00,12.72,8.0,10.0,905948733.8158765,1
2024-01-20 00:00:00,22.85,11.0,100.0,898788041.0,0
2024-01-20 06:00:00,34.11,11.0,100.0,895962771.0,0
2024-01-20 12:00:00,25.08,11.0,100.0,911682716.0,0
2024-01-20 18:00:00,20.78,11.0,100.0,928360519.5,0
2024-01-21 00:00:00,12.72,8.0,10.0,904458283.3180166,1
2024-01-21 06:00:00,21.26,11.0,100.0,906652961.0,0
2024-01-21 12:00:00,22.44,11.0,100.0,759952120.0,0
2024-01-21 18:00:00,10.72,6.0,10.0,913640668.0,0
2024-01-22 00:00:00,12.72,8.0,10.0,908136575.5199513,1
2024-01-22 06:00:00,12.72,8.0,10.0,907530257.4186717,1
2024-01-22 12:00:00,54.94,11.0,100.0,903323912.5,0
2024-01-22 18:00:00,16.73,6.0,10.0,891893889.0,0
2024-01-23 00:00:00,12.72,8.0,10.0,907364883.2189288,1
2024-01-23 06:00:00,16.53,6.0,10.0,888876630.0,0
