Data,Atraso(ms),Hop_count,Bottleneck,Vazao_BBR,is_imputed
2024-01-15 18:00:00,53.52,10.0,1.0,534014036.0,0
2024-01-16 00:00:00,53.52,10.0,1.0,539248084.674067,1
2024-01-16 06:00:00,53.52,10.0,1.0,637470478.2476636,1
2024-01-16 12:00:00,65.72,10.0,1.0,536120387.0,0
2024-01-16 18:00:00,53.52,10.0,1.0,658014484.9007379,1
2024-01-17 00:00:00,53.52,10.0,1.0,658009346.9185678,1
2024-01-17 06:00:00,40.66,15.0,1.0,874924421.0,0
2024-01-17 12:00:00,53.52,10.0,1.0,706795859.6959642,1
2024-01-17 18:00:00,64.83,15.0,1.0,601148650.0,0
2024-01-18 00:00:00,53.52,10.0,1.0,736090043.5677346,1
2024-01-18 06:00:00,53.52,10.0,1.0,733078623.8747412,1
2024-01-18 12:00:00,53.52,10.0,1.0,733920186.9549348,1
2024-01-18 18:00:00,50.82,15.0,1.0,822187660.0,0
2024-01-19 00:00:00,55.29,9.0,1.0,261567989.0,0
2024-01-19 06:00:00,53.52,10.0,1.0,706335853.6433725,1
2024-01-19 12:00:00,53.52,10.0,1.0,719461563.942389,1
2024-01-19 18:00:00,60.01,9.0,1.0,629821133.5,0
2024-01-20 00:00:00,53.52,10.0,1.0,730661372.7311966,1
2024-01-20 06:00:00,54.59,9.0,1.0,867643690.0,0
2024-01-20 12:00:00,45.88,11.0,1.0,849664994.0,0
2024-01-20 18:00:00,56.0,11.0,1.0,568487636.5,0
2024-01-21 00:00:00,53.52,10.0,1.0,764682406.0039579,1
2024-01-21 06:00:00,53.52,10.0,1.0,755440248.922138,1
2024-01-21 12:00:00,53.52,10.0,1.0,775511254.1694798,1
2024-01-21 18:00:00,86.52,15.0,1.0,877551850.0,0
2024-01-22 00:00:00,74.03,16.0,1.0,887809283.0,0
2024-01-22 06:00:00,53.52,10.0,1.0,776124672.4088566,1
2024-01-22 12:00:00,70.41,15.0,1.0,549609351.0,0
2024-01-22 18:00:00,39.2,11.0,1.0,632139794.0,0
2024-01-23 00:00:00,53.52,10.0,1.0,788506851.9601241,1
2024-01-23 06:00:00,69.52,15.0,1.0,420681665.0,0
2024-01-23 12:00:00,51.71,15.0,1.0,548353751.0,0
2024-01-23 18:00:00,53.52,10.0,1.0,781131944.27502,1
2024-01-24 00:00:00,58.98,9.0,1.0,883211696.0,0
2024-01-24 06:00:00,53.52,10.0,1.0,773358675.0560302,1
2024-01-24 12:00:00,55.12,15.0,1.0,741972414.0,0
2024-01-24 18:00:00,53.52,10.0,1.0,802536881.0264456,1
2024-01-25 00:00:00,44.4,15.0,1.0,265656663.0,0
2024-01-25 06:00:00,48.53,15.0,1.0,543634572.0,0
2024-01-25 12:00:00,53.52,10.0,1.0,786807390.5235989,1
2024-01-25 18:00:00,53.52,10.0,1.0,787208252.4037704,1
2024-01-26 00:00:00,53.52,10.0,1.0,786627016.5433664,1
2024-01-26 06:00:00,53.52,10.0,1.0,783183032.2290814,1
2024-01-26 12:00:00,53.52,10.0,1.0,788484240.6408908,1
2024-01-26 18:00:00,53.52,10.0,1.0,788059141.2279912,1
2024-01-27 00:00:00,53.52,10.0,1.0,795377238.5818248,1
2024-01-27 06:00:00,53.52,10.0,1.0,794287298.0144057,1
2024-01-27 12:00:00,53.52,10.0,1.0,799170811.215378,1
2024-01-27 18:00:00,53.52,10.0,1.0,807068805.3140967,1
2024-01-28 00:00:00,53.52,10.0,1.0,817790199.5098155,1
2024-01-28 06:00:00,53.52,10.0,1.0,816901516.8348246,1
2024-01-28 12:00:00,53.52,10.0,1.0,821677639.0582474,1
2024-01-28 18:00:00,53.52,10.0,1.0,826316931.2871346,1
2024-01-29 00:00:00,53.52,10.0,1.0,830850402.0578266,1
2024-01-29 06:00:00,53.52,10.0,1.0,829871552.7720374,1
2024-01-29 12:00:00,53.52,10.0,1.0,830386046.0671977,1
2024-01-29 18:00:00,53.52,10.0,1.0,831857927.1006522,1
2024-01-30 00:00:00,53.52,10.0,1.0,836256873.9311231,1
2024-01-30 06:00:00,53.52,10.0,1.0,833325878.6657283,1
2024-01-30 12:00:00,53.52,10.0,1.0,838470951.3685771,1
2024-01-30 18:00:00,53.52,10.0,1.0,838346587.9186001,1
2024-01-31 00:00:00,53.52,10.0,1.0,844725715.063536,1
2024-01-31 06:00:00,53.52,10.0,1.0,842680031.8778249,1
2024-01-31 12:00:00,56.3,10.0,1.0,215902187.0,0
2024-01-31 18:00:00,36.56,15.0,1.0,364430493.0,0
2024-02-01 00:00:00,53.52,10.0,1.0,822475071.4466996,1
2024-02-01 06:00:00,56.26,9.5,1.0,615671152.0,0
2024-02-01 12:00:00,73.01,15.0,1.0,242277882.0,0
2024-02-01 18:00:00,42.87,11.0,1.0,463661951.5,0
2024-02-02 00:00:00,53.52,10.0,1.0,823394610.8848599,1
2024-02-02 06:00:00,55.31,9.0,1.0,241148058.0,0
2024-02-02 12:00:00,53.52,10.0,1.0,799642519.937415,1
2024-02-02 18:00:00,44.49,15.0,1.0,255590821.0,0
2024-02-03 00:00:00,53.52,10.0,1.0,799158863.1223102,1
2024-02-03 06:00:00,58.57,9.0,1.0,261830534.0,0
2024-02-03 12:00:00,43.76,9.0,1.0,258893634.0,0
2024-02-03 18:00:00,66.39,15.0,1.0,871724117.0,0
2024-02-04 00:00:00,53.52,10.0,1.0,791297817.0461507,1
2024-02-04 06:00:00,53.52,10.0,1.0,814938417.6311319,1
2024-02-04 12:00:00,82.66,15.0,1.0,265447837.0,0
2024-02-04 18:00:00,53.39,9.0,1.0,261285660.0,0
2024-02-05 00:00:00,58.06,9.0,1.0,265394850.0,0
2024-02-05 06:00:00,53.45,9.0,1.0,117335836.0,0
2024-02-05 12:00:00,63.13,15.0,1.0,408343653.5,0
2024-02-05 18:00:00,49.64,9.0,1.0,267073014.0,0
