Data,Atraso(ms),Hop_count,Bottleneck,Vazao_BBR
2024-01-16 00:00:00,8.82,7.0,6.0,926848846.0
2024-01-16 06:00:00,8.36,7.0,6.0,903454707.0
2024-01-16 12:00:00,9.44,7.0,6.0,916813061.0
2024-01-16 18:00:00,15.99,7.0,6.0,-1.0
2024-01-17 00:00:00,15.99,7.0,6.0,-1.0
2024-01-17 06:00:00,15.99,7.0,6.0,-1.0
2024-01-17 12:00:00,15.99,7.0,6.0,-1.0
2024-01-17 18:00:00,6.83,5.0,6.0,906545020.0
2024-01-18 00:00:00,15.99,7.0,6.0,-1.0
2024-01-18 06:00:00,15.99,7.0,6.0,-1.0
2024-01-18 12:00:00,15.99,7.0,6.0,-1.0
2024-01-18 18:00:00,5.59,5.0,6.0,921170040.5
2024-01-19 00:00:00,15.99,7.0,6.0,-1.0
2024-01-19 06:00:00,15.99,7.0,6.0,-1.0
2024-01-19 12:00:00,15.99,7.0,6.0,-1.0
2024-01-19 18:00:00,18.99,5.0,6.0,920961537.0
2024-01-20 00:00:00,15.99,7.0,6.0,-1.0
2024-01-20 06:00:00,13.44,5.0,6.0,922382830.0
2024-01-20 12:00:00,29.65,5.0,6.0,919865871.0
2024-01-20 18:00:00,10.44,5.0,6.0,919039921.0
2024-01-21 00:00:00,14.38,5.0,6.0,859624796.0
2024-01-21 06:00:00,13.93,5.0,6.0,925820921.5
2024-01-21 12:00:00,14.8,5.0,6.0,808296426.0
2024-01-21 18:00:00,15.99,7.0,6.0,-1.0
2024-01-22 00:00:00,32.53,5.0,6.0,918109252.0
2024-01-22 06:00:00,15.99,7.0,6.0,-1.0
2024-01-22 12:00:00,15.99,7.0,6.0,-1.0
2024-01-22 18:00:00,24.49,5.0,6.0,883060750.0
2024-01-23 00:00:00,15.99,7.0,6.0,-1.0
2024-01-23 06:00:00,20.67,5.0,6.0,870175411.0
2024-01-23 12:00:00,17.51,7.0,6.0,910011504.0
2024-01-23 18:00:00,21.91,5.0,6.0,868382011.0
2024-01-24 00:00:00,15.99,7.0,6.0,-1.0
2024-01-24 06:00:00,15.99,7.0,6.0,-1.0
2024-01-24 12:00:00,15.99,7.0,6.0,-1.0
2024-01-24 18:00:00,16.17,5.0,6.0,862091241.0
2024-01-25 00:00:00,15.99,7.0,6.0,-1.0
2024-01-25 06:00:00,15.99,7.0,6.0,-1.0
2024-01-25 12:00:00,15.99,7.0,6.0,-1.0
2024-01-25 18:00:00,15.99,5.0,6.0,863190093.0
2024-01-26 00:00:00,15.99,7.0,6.0,-1.0
2024-01-26 06:00:00,15.99,7.0,6.0,-1.0
2024-01-26 12:00:00,15.99,5.0,6.0,849711522.0
2024-01-26 18:00:00,9.1,5.0,6.0,852593138.0
2024-01-27 00:00:00,11.92,5.0,6.0,907022865.0
2024-01-27 06:00:00,8.81,5.0,6.0,873305517.0
2024-01-27 12:00:00,37.82,6.0,6.0,813854541.0
2024-01-27 18:00:00,34.27,5.0,6.0,844471019.0
2024-01-28 00:00:00,35.5,5.0,6.0,910901068.0
2024-01-28 06:00:00,15.99,7.0,6.0,-1.0
2024-01-28 12:00:00,33.92,5.0,6.0,820931751.0
2024-01-28 18:00:00,26.79,5.0,6.0,903403001.0
2024-01-29 00:00:00,34.89,6.0,6.0,910115088.0
2024-01-29 06:00:00,34.98,6.0,6.0,779414451.0
2024-01-29 12:00:00,27.43,5.0,6.0,826020204.0
2024-01-29 18:00:00,24.91,5.0,6.0,813171094.0
