Data,Atraso(ms),Hop_count,Bottleneck,Vazao_BBR
2024-01-15 12:00:00,4.21,6.0,100.0,2745123656.0
2024-01-15 18:00:00,4.21,6.0,100.0,-1.0
2024-01-16 00:00:00,4.21,6.0,100.0,-1.0
2024-01-16 06:00:00,4.21,6.0,100.0,-1.0
2024-01-16 12:00:00,5.16,6.0,100.0,2891871654.0
2024-01-16 18:00:00,6.05,5.0,100.0,2024441382.0
2024-01-17 00:00:00,4.21,6.0,100.0,-1.0
2024-01-17 06:00:00,4.21,6.0,100.0,-1.0
2024-01-17 12:00:00,4.21,6.0,100.0,-1.0
2024-01-17 18:00:00,5.5,5.0,100.0,3155507335.0
2024-01-18 00:00:00,4.21,6.0,100.0,-1.0
2024-01-18 06:00:00,4.52,5.0,100.0,2770032360.0
2024-01-18 12:00:00,5.12,6.0,100.0,2802324684.0
2024-01-18 18:00:00,4.45,5.0,100.0,2835510051.0
2024-01-19 00:00:00,4.21,6.0,100.0,-1.0
2024-01-19 06:00:00,4.21,6.0,100.0,-1.0
2024-01-19 12:00:00,4.97,5.0,100.0,2668532366.5
2024-01-19 18:00:00,4.61,5.0,100.0,2878628575.0
2024-01-20 00:00:00,4.14,5.0,100.0,3586770184.0
2024-01-20 06:00:00,4.21,6.0,100.0,-1.0
2024-01-20 12:00:00,4.21,6.0,100.0,-1.0
2024-01-20 18:00:00,4.77,5.0,100.0,3018107730.0
2024-01-21 00:00:00,4.21,6.0,100.0,-1.0
2024-01-21 06:00:00,4.21,6.0,100.0,-1.0
2024-01-21 12:00:00,4.21,6.0,100.0,-1.0
2024-01-21 18:00:00,5.55,5.0,100.0,3158028232.0
2024-01-22 00:00:00,4.21,6.0,100.0,-1.0
2024-01-22 06:00:00,4.21,6.0,100.0,-1.0
2024-01-22 12:00:00,5.13,5.0,100.0,3188411420.0
2024-01-22 18:00:00,5.1,5.0,100.0,3473878990.0
2024-01-23 00:00:00,4.21,6.0,100.0,-1.0
2024-01-23 06:00:00,4.73,5.0,100.0,1028864365.0
2024-01-23 12:00:00,4.84,5.0,100.0,2849768848.0
2024-01-23 18:00:00,3.38,5.0,100.0,2945010668.0
2024-01-24 00:00:00,4.21,6.0,100.0,-1.0
2024-01-24 06:00:00,4.83,5.0,100.0,3146810527.0
2024-01-24 12:00:00,4.21,6.0,100.0,-1.0
2024-01-24 18:00:00,3.52,5.0,100.0,2924744989.5
2024-01-25 00:00:00,4.21,6.0,100.0,-1.0
2024-01-25 06:00:00,4.3,5.0,100.0,2814538788.0
2024-01-25 12:00:00,4.05,5.0,100.0,2785557475.5
2024-01-25 18:00:00,4.6,5.0,100.0,2647160869.0
2024-01-26 00:00:00,4.57,5.0,100.0,1870248144.0
2024-01-26 06:00:00,4.21,6.0,100.0,-1.0
2024-01-26 12:00:00,4.97,6.0,100.0,2116045381.5
2024-01-26 18:00:00,4.75,5.0,100.0,3486261248.0
2024-01-27 00:00:00,4.21,6.0,100.0,-1.0
2024-01-27 06:00:00,4.26,5.0,100.0,3650435417.0
2024-01-27 12:00:00,5.86,5.0,100.0,2811341049.0
2024-01-27 18:00:00,5.15,5.0,100.0,2834373622.0
2024-01-28 00:00:00,4.21,6.0,100.0,-1.0
2024-01-28 06:00:00,5.13,5.0,100.0,2922544598.0
2024-01-28 12:00:00,4.93,5.0,100.0,1396741553.0
2024-01-28 18:00:00,4.8,5.0,100.0,1119147123.0
2024-01-29 00:00:00,4.21,6.0,100.0,-1.0
2024-01-29 06:00:00,4.94,5.0,100.0,3621006116.0
2024-01-29 12:00:00,4.93,5.0,100.0,2754954155.0
2024-01-29 18:00:00,4.94,5.0,100.0,3242144076.0
2024-01-30 00:00:00,4.21,6.0,100.0,-1.0
2024-01-30 06:00:00,4.21,6.0,100.0,-1.0
2024-01-30 12:00:00,4.21,6.0,100.0,-1.0
2024-01-30 18:00:00,4.21,6.0,100.0,-1.0
2024-01-31 00:00:00,4.21,6.0,100.0,-1.0
2024-01-31 06:00:00,4.21,6.0,100.0,-1.0
2024-01-31 12:00:00,4.79,5.0,100.0,2836975931.0
2024-01-31 18:00:00,5.47,5.0,100.0,2988571370.0
2024-02-01 00:00:00,4.21,6.0,100.0,-1.0
2024-02-01 06:00:00,4.26,5.0,100.0,3059570959.0
2024-02-01 12:00:00,4.75,6.0,100.0,1810452273.0
2024-02-01 18:00:00,5.09,5.0,100.0,3040221975.5
2024-02-02 00:00:00,4.21,6.0,100.0,-1.0
2024-02-02 06:00:00,4.21,6.0,100.0,-1.0
