Data,Atraso(ms),Hop_count,Bottleneck,Vazao_BBR
2024-01-16 06:00:00,8.68,7.0,10.0,924665686.0
2024-01-16 12:00:00,21.58,7.0,10.0,-1.0
2024-01-16 18:00:00,21.56,7.0,100.0,924778280.0
2024-01-17 00:00:00,21.58,7.0,10.0,-1.0
2024-01-17 06:00:00,10.42,7.0,100.0,923483699.0
2024-01-17 12:00:00,33.8,9.0,100.0,908020879.0
2024-01-17 18:00:00,21.58,7.0,10.0,-1.0
2024-01-18 00:00:00,21.58,7.0,10.0,-1.0
2024-01-18 06:00:00,21.58,7.0,10.0,-1.0
2024-01-18 12:00:00,21.58,7.0,10.0,-1.0
2024-01-18 18:00:00,21.58,7.0,10.0,-1.0
2024-01-19 00:00:00,5.52,7.0,100.0,913781235.0
2024-01-19 06:00:00,21.58,7.0,10.0,-1.0
2024-01-19 12:00:00,19.51,7.0,100.0,917296440.0
2024-01-19 18:00:00,21.58,7.0,10.0,-1.0
2024-01-20 00:00:00,21.58,7.0,10.0,-1.0
2024-01-20 06:00:00,2.98,7.0,100.0,919183771.0
2024-01-20 12:00:00,19.5,7.0,100.0,920680064.0
2024-01-20 18:00:00,36.12,9.0,100.0,921726154.0
2024-01-21 00:00:00,21.58,7.0,10.0,-1.0
2024-01-21 06:00:00,36.37,9.0,100.0,935331101.0
2024-01-21 12:00:00,21.58,7.0,10.0,-1.0
2024-01-21 18:00:00,54.0,8.0,10.0,923156286.0
2024-01-22 00:00:00,21.58,7.0,10.0,-1.0
2024-01-22 06:00:00,21.58,7.0,10.0,-1.0
2024-01-22 12:00:00,21.58,7.0,10.0,-1.0
2024-01-22 18:00:00,53.6,8.0,10.0,871161906.0
2024-01-23 00:00:00,21.58,7.0,10.0,-1.0
2024-01-23 06:00:00,21.58,8.0,10.0,902565718.0
2024-01-23 12:00:00,21.58,8.0,10.0,851549506.0
2024-01-23 18:00:00,21.58,8.0,10.0,857579383.5
2024-01-24 00:00:00,21.58,7.0,10.0,-1.0
2024-01-24 06:00:00,21.58,7.0,10.0,-1.0
2024-01-24 12:00:00,21.58,7.0,10.0,-1.0
2024-01-24 18:00:00,37.42,9.0,100.0,853228210.0
2024-01-25 00:00:00,47.31,8.0,10.0,858733762.0
2024-01-25 06:00:00,21.58,7.0,10.0,-1.0
2024-01-25 12:00:00,29.15,7.0,100.0,893178108.0
2024-01-25 18:00:00,11.55,7.0,100.0,861645760.5
2024-01-26 00:00:00,21.58,7.0,10.0,-1.0
2024-01-26 06:00:00,32.11,9.0,100.0,832571675.0
2024-01-26 12:00:00,14.6,7.0,100.0,872415537.0
2024-01-26 18:00:00,6.3,7.0,100.0,855026396.5
2024-01-27 00:00:00,21.58,7.0,10.0,-1.0
2024-01-27 06:00:00,21.58,7.0,10.0,-1.0
2024-01-27 12:00:00,21.58,7.0,10.0,-1.0
2024-01-27 18:00:00,46.38,8.0,10.0,844407477.0
2024-01-28 00:00:00,21.58,7.0,10.0,-1.0
2024-01-28 06:00:00,46.74,8.0,10.0,847225195.0
2024-01-28 12:00:00,21.58,7.0,10.0,-1.0
2024-01-28 18:00:00,47.72,8.0,10.0,885837460.5
2024-01-29 00:00:00,21.58,7.0,10.0,-1.0
2024-01-29 06:00:00,44.63,8.0,10.0,911106911.0
2024-01-29 12:00:00,47.33,8.0,10.0,795827737.0
2024-01-29 18:00:00,40.6,8.0,10.0,842883887.5
2024-01-30 00:00:00,21.58,7.0,10.0,-1.0
2024-01-30 06:00:00,21.79,7.0,100.0,870631794.0
2024-01-30 12:00:00,37.19,8.0,10.0,655404596.0
2024-01-30 18:00:00,48.44,11.0,10.0,876455049.0
2024-01-31 00:00:00,21.58,7.0,10.0,-1.0
2024-01-31 06:00:00,41.93,10.0,100.0,922462849.5
2024-01-31 12:00:00,21.58,7.0,10.0,-1.0
2024-01-31 18:00:00,24.22,7.0,100.0,924692802.0
2024-02-01 00:00:00,9.22,7.0,100.0,924799979.0
2024-02-01 06:00:00,21.58,7.0,10.0,-1.0
2024-02-01 12:00:00,29.36,9.0,100.0,921073325.5
2024-02-01 18:00:00,21.58,7.0,10.0,-1.0
2024-02-02 00:00:00,35.32,9.0,100.0,934810551.0
2024-02-02 06:00:00,36.78,9.0,100.0,920549335.0
2024-02-02 12:00:00,21.58,7.0,10.0,-1.0
2024-02-02 18:00:00,47.3,9.0,100.0,936010289.0
2024-02-03 00:00:00,18.14,7.0,100.0,924505509.5
2024-02-03 06:00:00,15.83,7.0,100.0,926366088.0
2024-02-03 12:00:00,24.45,7.0,100.0,923090804.0
2024-02-03 18:00:00,11.58,7.0,100.0,923193378.0
2024-02-04 00:00:00,21.58,7.0,10.0,-1.0
2024-02-04 06:00:00,18.32,7.0,100.0,911792326.5
2024-02-04 12:00:00,18.45,7.0,100.0,918028976.0
2024-02-04 18:00:00,21.58,7.0,10.0,-1.0
2024-02-05 00:00:00,21.58,7.0,10.0,-1.0
2024-02-05 06:00:00,37.15,9.0,100.0,921492090.0
